combo_idx,group,role,a,ratio,worbit,u_peak,u_rms,v_peak,T_total,t_settle,variant,sensor_grade,tau_slip,sigma_slip,slip_fit_r2,sigma_pos_rms,sigma_vel_rms,sigma_psi_rms,sigma_bg_rms,sigma_pos_rms_full,sigma_vel_rms_full,sigma_psi_rms_full,sigma_bg_rms_full,achieved_pos_rms,achieved_pos_rms_full,ratio_achieved_to_bound
2,unloaded,keep,0.8,0.4,-0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B2,default,0.039073231241791795,0.005359065432530926,0.44582551472235066,0.0007629996653868644,0.004417552874483412,0.002434134377581685,0.009433452447260278,0.02433646264597831,0.004542615947783471,0.0029702270698865677,0.011001459831425394,0.015851216395043725,0.015932730913302152,20.77486677141158
2,unloaded,keep,0.8,0.4,-0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B3,default,0.039073231241791795,0.005359065432530926,0.44582551472235066,0.0017074376724785718,0.007206581864215819,0.0024341869839338446,0.009434167632472224,0.02438281609301931,0.007283747505656259,0.0029702680256792303,0.011002036866272318,0.015851216395043725,0.015932730913302152,9.283628123323288
2,unloaded,keep,0.8,0.4,-0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B0,realistic,0.039073231241791795,0.005359065432530926,0.44582551472235066,0.004471828975904817,0.03192090240531565,0.0022707327462792733,0.008839534733934284,0.02473307474250944,0.03316707573710867,0.002838476365082422,0.01046094904978931,0.015851216395043725,0.015932730913302152,3.5446830548425514
2,unloaded,keep,0.8,0.4,-0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B1,realistic,0.039073231241791795,0.005359065432530926,0.44582551472235066,0.0007354841340380874,0.00412294724800785,0.0022700221129794145,0.00883692352227084,0.024335656375111762,0.004256459999826356,0.0028379388406456845,0.010458872365471227,0.015851216395043725,0.015932730913302152,21.55208475812323
2,unloaded,keep,0.8,0.4,-0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B2,realistic,0.039073231241791795,0.005359065432530926,0.44582551472235066,0.0008489096711635654,0.00524803945479093,0.0022700266387278324,0.008837041154147525,0.024339175120293533,0.0053544819209608956,0.0028379422667325115,0.010458965884622173,0.015851216395043725,0.015932730913302152,18.672441760873237
2,unloaded,keep,0.8,0.4,-0.3829,0.027826195052078045,0.018239516586196373,0.30631911572244463,33.81893605212633,2.0,B3,realistic,0.039073231241791795,0.005359065432530926,0.44582551472235066,0.001716373044551329,0.008047939171689404,0.002270096539031852,0.008837849437550938,0.0243834314620213,0.00811824038634276,0.002837995359854688,0.010459608508231993,0.015851216395043725,0.015932730913302152,9.235297912283011
5,loaded,keep,0.8,0.4,0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B0,default,0.059473928141955366,0.007587830287288132,0.9428404704086767,0.0044838311194774745,0.03209985845451308,0.0023600744292457485,0.007885037151844245,0.03339289840687501,0.03432924042397628,0.0033129579809097467,0.011169181076037857,0.01521919613619447,0.015609643225834803,3.394239374913845
5,loaded,keep,0.8,0.4,0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B1,default,0.059473928141955366,0.007587830287288132,0.9428404704086767,0.0007569841470042985,0.00035139115311428286,0.002357999541109427,0.007878510369692279,0.0330980422423605,0.001478118442162922,0.0033116152746318762,0.011165027594023708,0.01521919613619447,0.015609643225834803,20.105039446893525
5,loaded,keep,0.8,0.4,0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B2,default,0.059473928141955366,0.007587830287288132,0.9428404704086767,0.0009435877190994838,0.005416756901197268,0.0023580417471392805,0.007879025849274718,0.03310245938678831,0.005606456470009495,0.003311642480415332,0.011165355164094871,0.01521919613619447,0.015609643225834803,16.129073988710836
5,loaded,keep,0.8,0.4,0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B3,default,0.059473928141955366,0.007587830287288132,0.9428404704086767,0.002202641481832757,0.009974073076377685,0.0023585532087389725,0.007881313037059152,0.033159709540108426,0.010077218400530776,0.0033119739672534646,0.011166808457391875,0.01521919613619447,0.015609643225834803,6.9095203471474615
5,loaded,keep,0.8,0.4,0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B0,realistic,0.059473928141955366,0.007587830287288132,0.9428404704086767,0.004483723446644908,0.03209938327342057,0.0023494486854656435,0.00776309276305013,0.033392885444322035,0.03432883233608571,0.0033021041893016427,0.01098573758810643,0.01521919613619447,0.015609643225834803,3.394320884706377
5,loaded,keep,0.8,0.4,0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B1,realistic,0.059473928141955366,0.007587830287288132,0.9428404704086767,0.0008476843936702483,0.004123241879036183,0.002347132605211984,0.00775634038434693,0.033100062220001225,0.004367025802390393,0.0033006098355849883,0.010981439001953733,0.01521919613619447,0.015609643225834803,17.953847268910298
5,loaded,keep,0.8,0.4,0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B2,realistic,0.059473928141955366,0.007587830287288132,0.9428404704086767,0.0009932658984837214,0.00595577210378515,0.002347171314105977,0.007756811588505867,0.03310380753557874,0.006130107064078556,0.003300634753248818,0.010981738633069012,0.01521919613619447,0.015609643225834803,15.322378589084217
5,loaded,keep,0.8,0.4,0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B3,realistic,0.059473928141955366,0.007587830287288132,0.9428404704086767,0.002207022951200929,0.010554350439686428,0.0023477569596875923,0.007759569626445351,0.03315999589407401,0.010654194882851168,0.0033010131512688046,0.010983492858246922,0.01521919613619447,0.015609643225834803,6.895803293714322
6,loaded,keep,0.8,0.4,-0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B0,default,0.023057513081275655,0.005699363536889982,0.7081855043642848,0.004483830922347893,0.03209985201846183,0.0023600744729737957,0.007885037949794763,0.03339289838253216,0.03432923404392108,0.0033129580087454284,0.011169181592278976,0.015192048759994458,0.015608120133394564,3.388185019260129
6,loaded,keep,0.8,0.4,-0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B1,default,0.023057513081275655,0.005699363536889982,0.7081855043642848,0.0007569126939756999,0.0003513911531092397,0.0023580006506059405,0.007878514324891074,0.03309804075547757,0.0014781184421618283,0.0033116160149001886,0.011165030124958708,0.015192048759994458,0.015608120133394564,20.071071447088435
6,loaded,keep,0.8,0.4,-0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B2,default,0.023057513081275655,0.005699363536889982,0.7081855043642848,0.0008776467275949013,0.004583647762551651,0.002358026898559602,0.007878850304504666,0.03310078221205612,0.004804687753981424,0.003311632928158335,0.011165243641534766,0.015192048759994458,0.015608120133394564,17.30998166155837
6,loaded,keep,0.8,0.4,-0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B3,default,0.023057513081275655,0.005699363536889982,0.7081855043642848,0.0015707424935145703,0.007387419711056842,0.0023582463742102,0.007880401972567124,0.03312491700502107,0.007527181775473076,0.0033117749612943436,0.011166229392368238,0.015192048759994458,0.015608120133394564,9.671890091928384
6,loaded,keep,0.8,0.4,-0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B0,realistic,0.023057513081275655,0.005699363536889982,0.7081855043642848,0.004483723264555808,0.03209937649687754,0.002349461555554971,0.007763056556269325,0.03339288542172508,0.03432882568892873,0.0033021063299736833,0.010985692065882548,0.015192048759994458,0.015608120133394564,3.3882663723001865
6,loaded,keep,0.8,0.4,-0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B1,realistic,0.023057513081275655,0.005699363536889982,0.7081855043642848,0.0008476286722736504,0.004123241870473594,0.0023471465789420476,0.007756308574303909,0.03310006091995451,0.004367025794964257,0.0033006127010305805,0.010981396284641499,0.015192048759994458,0.015608120133394564,17.923000078847995
6,loaded,keep,0.8,0.4,-0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B2,realistic,0.023057513081275655,0.005699363536889982,0.7081855043642848,0.0009382460902789795,0.005356059158700232,0.0023471697405824275,0.007756599828237596,0.033102318777852247,0.005547701256827646,0.0033006276068179223,0.010981581488067604,0.015192048759994458,0.015608120133394564,16.191965964363604
6,loaded,keep,0.8,0.4,-0.7275,0.08907970442118734,0.06415162471882853,0.5819999998585282,18.27336166922223,1.827336166922223,B3,realistic,0.023057513081275655,0.005699363536889982,0.7081855043642848,0.0015822752728440609,0.008089067852928055,0.00234740960123531,0.00775840932216269,0.03312544358541059,0.00821877890305844,0.0033007824549846528,0.010982732159438263,0.015192048759994458,0.015608120133394564,9.601394283744009
8,unloaded,keep,0.8,0.6,-0.4999,0.04934216073808223,0.033749678303853746,0.39991998360291114,26.13776878247484,2.0,B0,default,0.05942464817903841,0.005898239442259831,0.783127524299634,0.004475939103183605,0.031982226752735925,0.002402078002714833,0.0087528989283753,0.028028736533539298,0.03357843040275393,0.003087107760730916,0.010909332750078028,0.01617739675524735,0.016345923366224563,3.614302246369
8,unloaded,keep,0.8,0.6,-0.4999,0.04934216073808223,0.033749678303853746,0.39991998360291114,26.13776878247484,2.0,B1,default,0.05942464817903841,0.005898239442259831,0.783127524299634,0.0006660955687403352,0.0003513910711604991,0.0024009388133010294,0.00874824734582075,0.027676171884741883,0.0012508763667169046,0.00308627852191757,0.010905881478275438,0.01617739675524735,0.016345923366224563,24.28690043058041
8,unloaded,keep,0.8,0.6,-0.4999,0.04934216073808223,0.033749678303853746,0.39991998360291114,26.13776878247484,2.0,B2,default,0.05942464817903841,0.005898239442259831,0.783127524299634,0.0008292300566522047,0.004677662083123446,0.0024009519294795507,0.008748553219561002,0.027680303838965886,0.004830404898310149,0.00308628803534989,0.010906108144662441,0.01617739675524735,0.016345923366224563,19.508936784755825
8,unloaded,keep,0.8,0.6,-0.4999,0.04934216073808223,0.033749678303853746,0.39991998360291114,26.13776878247484,2.0,B3,default,0.05942464817903841,0.005898239442259831,0.783127524299634,0.001960166180139249,0.007980175821459662,0.002401130334741625,0.008750020050738792,0.027735190275916654,0.00806950218570755,0.0030864187624084693,0.010907194986993902,0.01617739675524735,0.016345923366224563,8.25307411134811
8,unloaded,keep,0.8,0.6,-0.4999,0.04934216073808223,0.033749678303853746,0.39991998360291114,26.13776878247484,2.0,B0,realistic,0.05942464817903841,0.005898239442259831,0.783127524299634,0.004475860978886684,0.031981747307327224,0.0022624660145041686,0.008272857333389514,0.028028724946009186,0.033578002090601626,0.002978371119687748,0.010471391499895413,0.01617739675524735,0.016345923366224563,3.6143653325155958
8,unloaded,keep,0.8,0.6,-0.4999,0.04934216073808223,0.033749678303853746,0.39991998360291114,26.13776878247484,2.0,B1,realistic,0.05942464817903841,0.005898239442259831,0.783127524299634,0.0007845873031224352,0.0041230385281786795,0.002261107694658728,0.008268299577453545,0.027679080675066577,0.004294976607338551,0.0029774064408826175,0.010468063222342791,0.01617739675524735,0.016345923366224563,20.618988722945037
8,unloaded,keep,0.8,0.6,-0.4999,0.04934216073808223,0.033749678303853746,0.39991998360291114,26.13776878247484,2.0,B2,realistic,0.05942464817903841,0.005898239442259831,0.783127524299634,0.0008988092385938846,0.005418625894773367,0.002261119972727215,0.008268535216798194,0.02768234981611342,0.005551968408893919,0.002977415159902103,0.010468235125905702,0.01617739675524735,0.016345923366224563,17.998698790141052
8,unloaded,keep,0.8,0.6,-0.4999,0.04934216073808223,0.033749678303853746,0.39991998360291114,26.13776878247484,2.0,B3,realistic,0.05942464817903841,0.005898239442259831,0.783127524299634,0.0019660478804076217,0.00878001078522674,0.0022613469628979615,0.00827021262636569,0.027735599134482362,0.00886281301531642,0.0029775775562102657,0.010469459051949268,0.01617739675524735,0.016345923366224563,8.228383914990557
9,loaded,hardest_available,0.8,0.6,0.7499,0.09459262661955169,0.07428773120457864,0.5999199975411856,17.757395138497362,1.7757395138497363,B0,default,0.07066862061166676,0.009117076428370601,0.9931707040446918,0.0044848657386031094,0.03211588647745522,0.0023566446771080434,0.007814537852998746,0.0338659869464048,0.034401186994317844,0.003334643816557694,0.011210673042130321,0.015247682931066079,0.016107439481469067,3.399808114615988
9,loaded,hardest_available,0.8,0.6,0.7499,0.09459262661955169,0.07428773120457864,0.5999199975411856,17.757395138497362,1.7757395138497363,B1,default,0.07066862061166676,0.009117076428370601,0.9931707040446918,0.0008008569679117316,0.00035139117289529844,0.0023540862848342825,0.00780669499436849,0.03357606531310761,0.0014982406203908013,0.003332995151242086,0.011205740314926663,0.015247682931066079,0.016107439481469067,19.03920867520833
