traj,role,mu,kind,vel_rmse,rate_rmse,pos_rmse,heading_rmse,inslip_vel_rmse,smoothness,score,slip_x_rmse,slip_y_rmse,final_gamma,frac_gamma_gt_10
spin_creep_c46_mu0.3,slip,0.3,baseline,0.0007783338139472475,0.44118449387861014,0.0069429953879767805,0.009002738221931228,0.0006550412009633712,154.19366881457213,54.85608120449105,0.014243619169704267,0.014452827574771732,NaN,NaN
spin_creep_c46_mu0.3,slip,0.3,iae,0.0007293082918769836,0.15136393192913444,0.0069418212984428945,0.008641918770649336,0.000639144091712288,138.2897548653361,24.977707326678747,0.000811769008319531,0.0010339158778349062,10000.0,0.9859571322985957
long_circle_c115_mu0.3,slip,0.3,baseline,0.08601484836993013,0.03360627912366907,0.007301984841594234,0.008536657993077082,0.08876322158913322,0.1467555010624226,179.7298999299505,0.06863227071001798,0.10332051882189237,NaN,NaN
long_circle_c115_mu0.3,slip,0.3,iae,0.08431480609688813,0.03421835208825824,0.0072916621025821415,0.008537020797003391,0.08675053664425451,0.12089689183807316,176.07609108451894,0.06329773483597687,0.10530543315923692,0.01,0.24100883560791472
spiral_orbit_c16_mu0.8,grip,0.8,baseline,0.09433345274314603,0.05099988491649878,0.007449509640147791,0.008549331521447871,0.06812030212515367,0.25534508187905747,169.16639473020308,0.07183796082273813,0.11668703770299887,NaN,NaN
spiral_orbit_c16_mu0.8,grip,0.8,iae,0.10236370042635112,0.05297811144537795,0.007541519341900808,0.008549620960829622,0.07437114320519933,0.24114573707545353,183.65382609321506,0.07798571490486983,0.12675726768626241,0.017170295876897668,0.26287712377280675
multisine_75percent_cap_c55_mu0.8,broadband,0.8,baseline,0.0013780896317723234,0.07511624252454269,0.0067141455272791695,0.008435057332137874,0.0013378839380738467,2.6661203807880685,11.875824127281547,0.01631226797767519,0.01606657865072474,NaN,NaN
multisine_75percent_cap_c55_mu0.8,broadband,0.8,iae,0.0013292551892011258,0.07560143281529963,0.006714129120664942,0.008435345929451325,0.0012894269206880624,2.6916023178706885,11.82835301232431,0.0014148596451642776,0.0012948352020403708,10000.0,0.9979167013883102
ellipse_c1_mu0.5,unloaded,0.5,baseline,0.0013482804650334973,0.20139621257100113,0.0067093160999878295,0.008714097940766817,0.001357901934420766,1.1591544818050945,24.446102784720097,0.013801513546138372,0.014718767591941205,NaN,NaN
ellipse_c1_mu0.5,unloaded,0.5,iae,0.001332067210311223,0.19477159049668583,0.006709379040910365,0.008708567900625273,0.0013363271560693107,1.1357829360787526,23.744137257006614,0.0011321510104896617,0.0016614360758828645,10000.0,0.9932286584464355
ellipse_c5_mu0.5,loaded,0.5,baseline,0.003041885342995422,0.7854391095984256,0.006925073638408306,0.009888220128907168,0.0030643356143072236,15.867927299425038,87.12485765884801,0.005363624298389382,0.009344758313202856,NaN,NaN
ellipse_c5_mu0.5,loaded,0.5,iae,0.0029809293219973405,0.7656883408075359,0.006908057682479846,0.009821527323093025,0.0030086088180891553,11.912714123849078,84.82696642758982,0.0012263496097892988,0.004766882863595077,10000.0,0.9867024187370034
mean,summary,NaN,baseline,0.056618345381159,0.22323257426873988,0.00770869885419169,0.008791375198265835,0.062212742891039376,38.828786019535336,144.74579240529488,0.06253164613510019,0.06243564220392808,NaN,NaN
mean,summary,NaN,iae,0.06839909710318476,0.17280849532283368,0.057527440880690776,0.019141159550701815,0.08341613959119702,34.22552317818401,178.4742224287136,0.07865370794965337,0.05836516952651869,4550.015261994999,0.7805003951384978
median,summary,NaN,baseline,0.002103809926146073,0.1318636343863098,0.006900292279747745,0.008587158280190643,0.002533639529889018,0.46649051093779653,54.85608120449105,0.014153016536599056,0.014553345943825473,NaN,NaN
median,summary,NaN,iae,0.0020974591201925667,0.13196724848645305,0.006902808780442508,0.008587179993688483,0.0025257422705931495,0.4675664409236142,24.977707326678747,0.0019627369212171504,0.0016614360758828645,44.03476538650169,0.8400539986500337
