controller,trajectory,score_mean,tracking_mean
PID-CT ct(s5),octagon_stress_hdg30,0.3256780257214323,0.006875894563076147
PID-CT ct(s5),octagon_stress_lat08,0.32883242452367134,0.0050585930473525725
PID-CT ct(s5),octagon_stress_lat08_hdg30,0.32313169850008877,0.0044825908606193395
PID-CT ct(s5),spin_creep_easy,0.4013653035449421,0.08100930421841043
PID-CT ct(s5),spin_creep_stress_yaw,0.3886888837832884,0.033583389434478125
PID-CT ct(s5),coupled_vomega_easy,0.31719218254592646,0.0030071762021795225
PID-CT ct(s5),coupled_vomega_stress,0.36178957085179764,0.07530064888277924
PID-CT ct(s5),spiral_orbit_stress,0.371518468621437,0.056003827042057294
PID-CT ct(s5),ellipse_stress_tangent,0.3691569740498207,0.009292716192096026
PID-CT ct(s5),ellipse_stress_crab,0.30339595925501006,0.007260178815009216
PID-CT ct(s5),multisine75_broadband,0.3015226562904841,0.036225380802205887
PID-CT nt(s4),octagon_easy,0.31354816019740367,0.005399487498389454
PID-CT nt(s4),octagon_mid,0.341245548886811,0.005385739161462974
PID-CT nt(s4),octagon_stress,0.3342969381370816,0.00891035854068711
PID-CT nt(s4),octagon_stress_hdg30,0.3275191134190818,0.008122533980742612
PID-CT nt(s4),octagon_stress_lat08,0.32993706738532735,0.005891414354257079
PID-CT nt(s4),octagon_stress_lat08_hdg30,0.3237401903216687,0.0051306942482692115
PID-CT nt(s4),spin_creep_easy,0.4110847347195751,0.09108148004374758
PID-CT nt(s4),spin_creep_stress_yaw,0.3870031277118022,0.032560052394688135
PID-CT nt(s4),coupled_vomega_easy,0.3166104391739665,0.002977998019446913
PID-CT nt(s4),coupled_vomega_stress,0.370002484314753,0.08423506982662089
PID-CT nt(s4),spiral_orbit_stress,0.37773884093089577,0.06286905319032657
PID-CT nt(s4),ellipse_stress_tangent,0.36979881446638435,0.010010873768650477
PID-CT nt(s4),ellipse_stress_crab,0.3032157915452344,0.007560292262228603
PID-CT nt(s4),multisine75_broadband,0.3019886005646985,0.03727125330841433
PID-FB ct(s3),octagon_easy,0.3211515713787133,0.006998207739809177
PID-FB ct(s3),octagon_mid,0.3500147408962254,0.016273299306347952
PID-FB ct(s3),octagon_stress,0.35429063025714413,0.016926421040962265
PID-FB ct(s3),octagon_stress_hdg30,0.3545538483407852,0.017848382092098665
PID-FB ct(s3),octagon_stress_lat08,0.34125249038775796,0.01239568514144948
PID-FB ct(s3),octagon_stress_lat08_hdg30,0.3414162454981766,0.012517128832285071
PID-FB ct(s3),spin_creep_easy,0.4452612155442422,0.11776177687235387
PID-FB ct(s3),spin_creep_stress_yaw,0.41709775741375366,0.05456413436320322
PID-FB ct(s3),coupled_vomega_easy,0.32446227643510295,0.0034204930187485493
PID-FB ct(s3),coupled_vomega_stress,0.38152367151738903,0.06863828062780505
PID-FB ct(s3),spiral_orbit_stress,0.38589361319937887,0.050629108914432765
PID-FB ct(s3),ellipse_stress_tangent,0.3991421589495047,0.032553491531711116
PID-FB ct(s3),ellipse_stress_crab,0.31433254581733516,0.010753419445734809
PID-FB ct(s3),multisine75_broadband,0.31710592029855533,0.04278306894350317
PID-FB nt(s4),octagon_easy,0.3247550837932481,0.006798434427646492
PID-FB nt(s4),octagon_mid,0.356500461259835,0.017237935508302167
PID-FB nt(s4),octagon_stress,0.3584723570723613,0.017332625563440417
PID-FB nt(s4),octagon_stress_hdg30,0.3588559164439574,0.018012647412555687
PID-FB nt(s4),octagon_stress_lat08,0.34635580970974955,0.013030178266488678
PID-FB nt(s4),octagon_stress_lat08_hdg30,0.3477473463801584,0.013199781145505607
PID-FB nt(s4),spin_creep_easy,0.4451672085317429,0.11051230833283672
PID-FB nt(s4),spin_creep_stress_yaw,0.41280285948889467,0.045235633706448106
PID-FB nt(s4),coupled_vomega_easy,0.32886644266168646,0.002923269483147491
PID-FB nt(s4),coupled_vomega_stress,0.3890606201942499,0.076423583316406
PID-FB nt(s4),spiral_orbit_stress,0.38814418698175085,0.05293705236600551
