model,window,regime,split,wheel,state,bin_kind,bin_center,n,rmse_norm,rmse_phys,batch,fold
ssm,32,S1_train,same_subset,3,zx,slip,0.065,45237,0.059423658409492826,1.819987553931791e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zx,slip,0.2,9914,0.06457316119547522,1.9777030352352268e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zx,slip,0.65,4268,0.06886700936577983,2.1092121096344026e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zx,slip,1.5,1697,0.0732670274859353,2.243972883291745e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zy,slip,0.005,43357,0.08954046379694362,1.865051374899163e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zy,slip,0.02,29286,0.10384647219842581,2.163033310994956e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zy,slip,0.065,45237,0.09947006114670216,2.0718764061610345e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zy,slip,0.2,9914,0.1487194002510821,3.097698072397473e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zy,slip,0.65,4268,0.10107870721154386,2.1053831277543613e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zy,slip,1.5,1697,0.07760362828079284,1.6164172866162214e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,omega_z_derived,slip,0.005,43357,0.044096346774991316,0.3971630518299741,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,omega_z_derived,slip,0.02,29286,0.03932054131762169,0.3541487522537721,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,omega_z_derived,slip,0.065,45237,0.04702414263656041,0.4235328630401596,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,omega_z_derived,slip,0.2,9914,0.14071244626600113,1.2673563384883304,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,omega_z_derived,slip,0.65,4268,0.10934347978191988,0.9848251228041494,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,omega_z_derived,slip,1.5,1697,0.06114392891252879,0.550705697496616,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,gamma,slip,0.005,38493,0.04519195843251307,3.742187362916711,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,gamma,slip,0.02,32478,0.05399104914031197,4.47080916793503,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,gamma,slip,0.065,52539,0.056324645414925836,4.664046082857476,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,gamma,slip,0.2,8269,0.07806155416501691,6.464003141733177,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,gamma,slip,0.65,1912,0.07747181814326375,6.415169181223058,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zx,slip,0.005,38493,0.02892424234809572,8.858721001698168e-06,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zx,slip,0.02,32478,0.04298155087942106,1.3164098224506424e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zx,slip,0.065,52539,0.04420364196782511,1.3538392006976728e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zx,slip,0.2,8269,0.05243413381605527,1.605917129209e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zx,slip,0.65,1912,0.06463526729756948,1.9796051798365457e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zy,slip,0.005,38493,0.07584235337933921,1.5797314357743983e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zy,slip,0.02,32478,0.09036486036144276,1.882222849445665e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zy,slip,0.065,52539,0.0965627308469038,2.0113191982526917e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zy,slip,0.2,8269,0.10245803562265948,2.134113360408222e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zy,slip,0.65,1912,0.1155725326286156,2.4072771258309492e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,omega_z_derived,slip,0.005,38493,0.041776862314579534,0.3762721256117472,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,omega_z_derived,slip,0.02,32478,0.049568444541278095,0.44644865500838626,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,omega_z_derived,slip,0.065,52539,0.056495148510308804,0.5088354758826983,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,omega_z_derived,slip,0.2,8269,0.08860906438676847,0.7980762354582486,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,omega_z_derived,slip,0.65,1912,0.08650073878205126,0.7790871560296647,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,gamma,wz,0.5,77529,0.0356871511609402,2.9551276564853284,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,gamma,wz,1.5,16539,0.05553663580129004,4.5987937622858786,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,gamma,wz,3.0,16515,0.0640401263329603,5.302937954442812,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,gamma,wz,6.0,15288,0.07978906310722227,6.607052084757738,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,gamma,wz,12.0,7193,0.09474775161836715,7.8457285647216475,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,gamma,wz,24.0,695,0.07540070620827939,6.243667670199695,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zx,wz,0.5,77529,0.03253990923566187,9.966102961437035e-06,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zx,wz,1.5,16539,0.045574395694849515,1.395821717319383e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zx,wz,3.0,16515,0.04986194452629666,1.527137857541932e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zx,wz,6.0,15288,0.057026088582107864,1.746556409656374e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zx,wz,12.0,7193,0.07009003648287422,2.1466701554901955e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zx,wz,24.0,695,0.08597812870331918,2.6332798873059086e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zy,wz,0.5,77529,0.07849990929812954,1.6350860568226113e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zy,wz,1.5,16539,0.09753214181379624,2.0315112033937077e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zy,wz,3.0,16515,0.09854188086758095,2.052543202014459e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zy,wz,6.0,15288,0.10867013116036447,2.263506005610544e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zy,wz,12.0,7193,0.15081645677829114,3.1413779674493844e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,zy,wz,24.0,695,0.18895756577212308,3.9358246869553796e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,omega_z_derived,wz,0.5,77529,0.02648291984408735,0.23852400563510975,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,omega_z_derived,wz,1.5,16539,0.04434969316468416,0.3994448695463811,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,omega_z_derived,wz,3.0,16515,0.057132935287648005,0.5145798370697446,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,omega_z_derived,wz,6.0,15288,0.08517841597472203,0.7671773766471909,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,omega_z_derived,wz,12.0,7193,0.12541571833472379,1.129583130671393,b4096_ep100,S1
ssm,32,S1_train,same_subset,1,omega_z_derived,wz,24.0,695,0.11519344446644351,1.0375140641139222,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,gamma,wz,0.5,76650,0.03849467213882182,3.1876086087416704,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,gamma,wz,1.5,16344,0.061052594791933555,5.055550952116212,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,gamma,wz,3.0,16365,0.07648502737032922,6.333456503350568,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,gamma,wz,6.0,15644,0.08851996066611867,7.33002707654225,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,gamma,wz,12.0,7925,0.1068418126603487,8.84719529055933,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,gamma,wz,24.0,831,0.11929010285963315,9.877994471367332,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zx,wz,0.5,76650,0.037921335768783974,1.1614289824204845e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zx,wz,1.5,16344,0.0599473755687835,1.836027607378714e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zx,wz,3.0,16365,0.07852362897542621,2.4049685134437305e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zx,wz,6.0,15644,0.09619206267062665,2.9461053301543603e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zx,wz,12.0,7925,0.1079882008059921,3.307389457920923e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zx,wz,24.0,831,0.13312896087779583,4.077383623435365e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zy,wz,0.5,76650,0.09112367766191404,1.8980283680976e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zy,wz,1.5,16344,0.09764869871764344,2.0339389833293433e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zy,wz,3.0,16365,0.09869856349345553,2.055806767976885e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zy,wz,6.0,15644,0.10493561906304222,2.1857193082965267e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zy,wz,12.0,7925,0.12603304891116754,2.6251607540030714e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,zy,wz,24.0,831,0.15755020024556007,3.281636097630334e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,omega_z_derived,wz,0.5,76650,0.028289580744166674,0.2547960782482656,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,omega_z_derived,wz,1.5,16344,0.05402358934552089,0.48657485675081713,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,omega_z_derived,wz,3.0,16365,0.06774235502070518,0.6101358145484913,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,omega_z_derived,wz,6.0,15644,0.09172666106703643,0.8261555277912069,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,omega_z_derived,wz,12.0,7925,0.1408912035252062,1.268966353462244,b4096_ep100,S1
ssm,32,S1_train,same_subset,2,omega_z_derived,wz,24.0,831,0.18190312335089098,1.638348863140178,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,gamma,wz,0.5,77260,0.03620995812330711,2.998419464788032,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,gamma,wz,1.5,16402,0.06284590937374061,5.204049046562202,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,gamma,wz,3.0,16965,0.07659703208741667,6.342731213242326,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,gamma,wz,6.0,15206,0.095477519749451,7.906158094330758,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,gamma,wz,12.0,7284,0.10194592187199918,8.441783810793877,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,gamma,wz,24.0,642,0.0810056317118881,6.707791860644155,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zx,wz,0.5,77260,0.040022909912243394,1.225794571780721e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zx,wz,1.5,16402,0.06179833772990827,1.8927176230896982e-05,b4096_ep100,S1
