model,window,regime,split,wheel,state,bin_kind,bin_center,n,rmse_norm,rmse_phys
ssm,16,S1_train,same_subset,3,zy,slip,0.65,8514,0.11432108962673307,2.3812106441695347e-05
ssm,16,S1_train,same_subset,3,zy,slip,1.5,3405,0.08219244482031081,1.7119984272025497e-05
ssm,16,S1_train,same_subset,3,omega_z_derived,slip,0.005,87092,0.04937338726177237,0.44469183046220523
ssm,16,S1_train,same_subset,3,omega_z_derived,slip,0.02,58450,0.039155908769499786,0.3526659544706299
ssm,16,S1_train,same_subset,3,omega_z_derived,slip,0.065,90498,0.05181950298882809,0.4667232879034513
ssm,16,S1_train,same_subset,3,omega_z_derived,slip,0.2,19832,0.16254887459511674,1.4640307378555006
ssm,16,S1_train,same_subset,3,omega_z_derived,slip,0.65,8514,0.1075284923393863,0.9684780554294308
ssm,16,S1_train,same_subset,3,omega_z_derived,slip,1.5,3405,0.037604556215222816,0.33869337034558067
ssm,16,S1_train,same_subset,4,gamma,slip,0.005,76997,0.046782542171560415,3.873898017451062
ssm,16,S1_train,same_subset,4,gamma,slip,0.02,64981,0.06212929127515133,5.1447084141716966
ssm,16,S1_train,same_subset,4,gamma,slip,0.065,105498,0.0734979067147749,6.086103530814768
ssm,16,S1_train,same_subset,4,gamma,slip,0.2,16355,0.10023219168030055,8.29987578683934
ssm,16,S1_train,same_subset,4,gamma,slip,0.65,3822,0.07786514193825238,6.447738951757992
ssm,16,S1_train,same_subset,4,zx,slip,0.005,76997,0.026009209679833386,7.965924543835901e-06
ssm,16,S1_train,same_subset,4,zx,slip,0.02,64981,0.041061701990657645,1.2576099914819602e-05
ssm,16,S1_train,same_subset,4,zx,slip,0.065,105498,0.04325309473822765,1.3247264841491498e-05
ssm,16,S1_train,same_subset,4,zx,slip,0.2,16355,0.049204526820835495,1.5070029138468317e-05
ssm,16,S1_train,same_subset,4,zx,slip,0.65,3822,0.047462973799744713,1.4536638074690233e-05
ssm,16,S1_train,same_subset,4,zy,slip,0.005,76997,0.07620368271876735,1.5872576180656802e-05
ssm,16,S1_train,same_subset,4,zy,slip,0.02,64981,0.0902276933594439,1.879365779442629e-05
ssm,16,S1_train,same_subset,4,zy,slip,0.065,105498,0.09747884883668312,2.030401154145911e-05
ssm,16,S1_train,same_subset,4,zy,slip,0.2,16355,0.1109292827650424,2.310562201317548e-05
ssm,16,S1_train,same_subset,4,zy,slip,0.65,3822,0.11111754136286496,2.3144834606531923e-05
ssm,16,S1_train,same_subset,4,omega_z_derived,slip,0.005,76997,0.04065089377703559,0.36613085239203813
ssm,16,S1_train,same_subset,4,omega_z_derived,slip,0.02,64981,0.05470901370501685,0.4927482758733808
ssm,16,S1_train,same_subset,4,omega_z_derived,slip,0.065,105498,0.07333677892450462,0.6605231738959949
ssm,16,S1_train,same_subset,4,omega_z_derived,slip,0.2,16355,0.11480328865019972,1.0340000434296412
ssm,16,S1_train,same_subset,4,omega_z_derived,slip,0.65,3822,0.07815862094937866,0.7039521115314125
ssm,16,S1_train,same_subset,1,gamma,wz,0.5,155226,0.03448668150805003,2.8557209810322424
ssm,16,S1_train,same_subset,1,gamma,wz,1.5,33140,0.06144014755648924,5.087642845295256
ssm,16,S1_train,same_subset,1,gamma,wz,3.0,33330,0.07205560875126153,5.966671911489378
ssm,16,S1_train,same_subset,1,gamma,wz,6.0,30209,0.09471722692199003,7.84320092304428
ssm,16,S1_train,same_subset,1,gamma,wz,12.0,14502,0.1238667363925561,10.256969408634271
ssm,16,S1_train,same_subset,1,gamma,wz,24.0,1384,0.12228191143858727,10.125735662877277
ssm,16,S1_train,same_subset,1,zx,wz,0.5,155226,0.033422157650305886,1.0236312030263063e-05
ssm,16,S1_train,same_subset,1,zx,wz,1.5,33140,0.0489588425660891,1.4994782637185197e-05
ssm,16,S1_train,same_subset,1,zx,wz,3.0,33330,0.05631076755760207,1.7246480418652113e-05
ssm,16,S1_train,same_subset,1,zx,wz,6.0,30209,0.06230533661143865,1.908245641864798e-05
ssm,16,S1_train,same_subset,1,zx,wz,12.0,14502,0.07299420808041165,2.2356171564084077e-05
ssm,16,S1_train,same_subset,1,zx,wz,24.0,1384,0.06750314882746124,2.0674407131841443e-05
ssm,16,S1_train,same_subset,1,zy,wz,0.5,155226,0.07659834132217136,1.595478019888568e-05
ssm,16,S1_train,same_subset,1,zy,wz,1.5,33140,0.0881437363996112,1.8359587363195413e-05
ssm,16,S1_train,same_subset,1,zy,wz,3.0,33330,0.0953049466073371,1.985120629433314e-05
ssm,16,S1_train,same_subset,1,zy,wz,6.0,30209,0.11140220432605459,2.320412757659328e-05
ssm,16,S1_train,same_subset,1,zy,wz,12.0,14502,0.15699060726346248,3.2699802521558545e-05
ssm,16,S1_train,same_subset,1,zy,wz,24.0,1384,0.16705086470949984,3.479526817737193e-05
ssm,16,S1_train,same_subset,1,omega_z_derived,wz,0.5,155226,0.02299947706180888,0.20714964318862172
ssm,16,S1_train,same_subset,1,omega_z_derived,wz,1.5,33140,0.04623569913705071,0.41643158029538574
ssm,16,S1_train,same_subset,1,omega_z_derived,wz,3.0,33330,0.06257844546226717,0.5636259734936725
ssm,16,S1_train,same_subset,1,omega_z_derived,wz,6.0,30209,0.09952381998701455,0.8963822848525825
ssm,16,S1_train,same_subset,1,omega_z_derived,wz,12.0,14502,0.16280652577238947,1.4663513275495932
ssm,16,S1_train,same_subset,1,omega_z_derived,wz,24.0,1384,0.1837120273514616,1.6546411387112119
ssm,16,S1_train,same_subset,2,gamma,wz,0.5,153601,0.03909905184017551,3.2376551711165247
