controller,finalized,trajectory,mode,seed,ok,tracking,ce,chatter,est_nrmse_vx,est_nrmse_vy,est_nrmse_psidot,est_nrmse_psi,est_nrmse_X,est_nrmse_Y,abs_rms_vx,abs_rms_vy,abs_rms_w,abs_max_vx,abs_max_vy,abs_max_w
pid,true,spin_creep,velocity,2,true,34.56996281432735,43.873058135611004,0.7454349304381945,0.31657612686129466,0.1882885301685562,0.03344007105443344,0.17932487178442497,4.298021256940268,3.141759452095001,0.016581166631771727,0.006044950202404976,0.08108377160880535,0.04467249062691904,0.0203585765075251,0.20946294471206617
pid,true,spin_creep,velocity,3,true,27.030828117158574,45.35372805556675,0.7451670856558648,0.35229775720935375,0.20260831669285512,0.029086629028974034,0.17230790590028547,3.9125730841830615,4.136345594402442,0.020156461384232535,0.007497328440131544,0.053438694527111634,0.05216791618588283,0.02284937099993285,0.16823719909195767
pid,true,spin_creep,velocity,4,true,22.815651251686287,44.943157865701124,0.7454572241495148,0.2932694305375879,0.19719274514196458,0.02086236330224926,0.17329762799168782,4.366878277740471,4.001239290378768,0.01616893052123082,0.006468627111647818,0.04580939612218022,0.039560399266178936,0.019916372935903717,0.15989510568136334
pid,true,spin_creep,velocity,5,true,30.627020806222287,44.45698329207086,0.7454867381957314,0.36738205015223796,0.2010387874297915,0.008855272666439307,0.17495354150875245,4.182438678488109,3.8995445291315565,0.021412236551253978,0.0057811775578528,0.06468764830956007,0.05691407205707104,0.022830477438096426,0.17000090852834115
pid,true,spin_creep,velocity,6,true,39.87238162697396,43.67128180197806,0.7473371917077598,0.33341551400583486,0.2573321135273517,0.039493664611868845,0.18078348557331328,4.3971054736474695,2.249955915427852,0.018184212543662547,0.010253088193669106,0.09117984414359023,0.05304216423521446,0.029604268383076792,0.2361768133080151
pid,true,spin_creep,velocity,7,true,42.55035359531831,44.13230760476127,0.7510351333418475,0.395559209930293,0.19306579593189482,0.04836551588536971,0.1833973696828905,4.16764955143052,1.042582436245101,0.02687916798501078,0.00562118029502681,0.09515071250591736,0.06048703594364782,0.02672207515207909,0.20935124805435712
pid,true,spin_creep,velocity,8,true,26.972350140246117,44.463171359704006,0.7438514155080168,0.3126176806147462,0.2137627243798214,0.009298677119760743,0.17592132414072828,4.028123659250046,4.886286931351373,0.017194890468452753,0.00684865252198828,0.05687350743029731,0.04800528352539697,0.028628848570577858,0.16925635569268893
pid,true,spin_creep,velocity,9,true,24.847297419773113,44.65017440326146,0.7446443899602566,0.3017725557058764,0.19144620496714912,0.013111182925616692,0.1745192482176519,4.217270714669096,4.712382967187479,0.015924152952267245,0.005916981266213392,0.0527007580408387,0.048494981644048626,0.02611264848912535,0.13059731339479708
pid,true,spin_creep,velocity,10,true,28.737635642978162,44.070628500256326,0.7520754244149648,0.27653917065704026,0.20341857863984425,0.009579987324232321,0.176636230100924,4.28380179586641,4.556116948619824,0.01369626563582698,0.00644208946459198,0.06607455182851553,0.034023598222740425,0.02500836128902719,0.1584028525021144
pid,true,spiral_orbit,velocity,1,true,79.06491511148357,47.34372884721501,0.6063483902266987,0.0366986618618622,0.19020519409276287,0.008964020381084422,0.2916373733495352,1.3965638941755099,1.0268550959587517,0.08681963945566493,0.006471311329430893,0.1439037945493549,0.17543653582107172,0.020211415097157483,0.29198055654813815
pid,true,spiral_orbit,velocity,2,true,75.70794309336536,47.926095784702504,0.6051174418601281,0.028566484879613885,0.18892536655966755,0.009741743893982769,0.290571800684937,1.392065317773776,1.0137348485063757,0.09345299545092094,0.005834302273752989,0.12783653155542216,0.19080860139456637,0.01858214963030198,0.2585260807182126
pid,true,spiral_orbit,velocity,3,true,75.67634562259909,47.707835624105805,0.6029074727733394,0.025848198578188507,0.19470611934213117,0.008968245637137273,0.2906429837672787,1.4195687936753079,0.9485471344016071,0.09300341624521949,0.005630662159003287,0.1283949584635745,0.18386042266549993,0.021670866554859256,0.25805096577479203
pid,true,spiral_orbit,velocity,4,true,77.23221780344902,47.579108664691816,0.6015067907536873,0.025371398887721025,0.1878461264064273,0.008746924173085105,0.2919189162610211,1.410788939483805,1.0096547946319245,0.09005301553763159,0.005321924479617305,0.13632171339309812,0.18005804954673943,0.018299457713522614,0.27966348215037495
pid,true,spiral_orbit,velocity,5,true,76.6037695367776,47.56628571225993,0.6066913430511464,0.027046762598380552,0.19079651194648944,0.007957857102083748,0.2915512334317277,1.4079659630791603,0.9866355415585479,0.09281326577056602,0.005396592730120219,0.13160145010964658,0.190034282456555,0.018346689845873666,0.26034518692290054
pid,true,spiral_orbit,velocity,6,true,77.34992529348166,47.68286172767436,0.6050360472811674,0.04006946722800756,0.1960816310743145,0.010941286756970122,0.2914331624120666,1.3830684059364868,1.1105976068295225,0.09124370680816286,0.006640817183912594,0.13416525188836953,0.18629066515914244,0.020500708631650637,0.28198635133704353
