seed,mode,name,combo_idx,mu,role,t_start,t_end,score,vel_rmse,rate_rmse,pos_rmse,heading_rmse,inslip_vel_rmse,smoothness
3,segment,octagon,288,0.5,grip,24.202350517121406,34.2023505171214,15.838379595784913,0.004195663602880568,0.05007202023327457,0.0024695348100950056,0.00858083862678497,0.005506378623069739,0.48196005638306394
3,segment,octagon,213,0.3,slip,4.779431800383945,14.779431800383945,11.07863181411975,0.0018614502485575996,0.06148564573753651,0.002296133975976681,0.008565397944950369,0.001971449593984152,0.22028411463289463
3,segment,octagon,213,0.3,slip,20.90384405436453,30.90384405436453,9.152245735268643,0.001516234518181355,0.04940013625041653,0.002238753064125504,0.008566291532555713,0.0016037664676207867,0.23453329513450025
3,segment,coupled_vomega,32,0.8,grip,3.9077074969023244,9.407707496902324,118.65527179234847,0.038858216131651004,0.34339252556758343,0.0075900000116427835,0.008666355974428705,0.043638423034140256,3.8748894238344036
3,segment,coupled_vomega,32,0.8,grip,14.6171804438784,20.1171804438784,81.19955803538846,0.025872098654912766,0.2732617947134602,0.00599349997832052,0.008636890791176155,0.026396620283594047,2.832410971719344
3,segment,coupled_vomega,72,0.5,mid,2.277067599426551,7.777067599426551,33.96682780161498,0.007151900018613012,0.15689399844805257,0.0027446864831524114,0.008527257411049507,0.009984474597190995,0.2771790317106916
3,segment,coupled_vomega,72,0.5,mid,11.740649331316972,17.240649331316973,19.102914807851047,0.0024068532241552478,0.14096931577392594,0.0026001205466505213,0.008539820056916192,0.0014805095042433256,0.09252883406421632
3,segment,spin_creep,26,0.3,slip,3.4670958052866654,8.717095805286665,38.68727491283468,0.0006936037071757332,0.36030330669835015,0.002825482581296641,0.008820579009851746,0.0007679315339994028,0.6160568541938148
3,segment,spin_creep,26,0.3,slip,13.733260190414988,18.98326019041499,36.507760063459926,0.0006667125528317657,0.33870160179751674,0.002698837565310013,0.008788161392506516,0.0006259924091951156,3.923900517994317
3,segment,spin_creep,46,0.3,slip,3.513074861401635,9.263074861401634,52.573039045878524,0.0006443573545434088,0.5020121276678345,0.002375524190660231,0.009018985337020915,0.0005687338359551643,0.3856827165676368
3,segment,spin_creep,46,0.3,slip,12.243799625088599,17.9937996250886,67.8608606444953,0.0007282400561405668,0.6527147832530693,0.0024468492328976374,0.00938247264889643,0.0006422100043232883,0.7200014109024089
3,segment,long_circle,115,0.3,slip,3.1998270621391915,9.226375307882861,33.33357886654663,0.017358251254942107,0.0028838759670242278,0.004599671384162222,0.00852133698682798,0.014202143853614735,3.4539064837667213
3,segment,long_circle,115,0.3,slip,14.71002517533321,20.736573421076876,916.3915716548531,0.02754886699084273,0.0001514852578292431,7.439816219675702,1.1743594149052627,0.027238656994186934,3.4267137188812855
3,segment,spiral_orbit,16,0.8,grip,3.732512331282256,9.309230565956282,35.261438046803455,0.016550798420125593,0.00016982640346238414,0.004599222557565048,0.008529286872583055,0.017210744443061973,3.4012320050969342
3,segment,spiral_orbit,16,0.8,grip,16.018217085810186,21.59493532048421,3.732045790072011,0.0012342129421912718,0.0013583868190355443,0.0026840476428633005,0.008508684293697517,0.001240313280386316,0.04815383869575182
3,segment,multisine_75percent_cap,55,0.8,broadband,14.595832933578171,29.595832933578173,11.643504521615089,0.0014022222251712517,0.07659784808680248,0.002109506655616912,0.00875696765628658,0.0013625594814910458,2.6458115016438852
