traj,variant,vel_rmse,inslip_vel_rmse,slip_rmse_x,slip_rmse_y,pos_rmse,heading_rmse,score
ellipse_c1_mu0.5,smo,0.001405637939834028,0.001415037709017249,0.01371719410239468,0.014629714997290195,0.006709253531829827,0.008714979014676012,24.671360798591092
ellipse_c1_mu0.5,eso,0.0014157696514759583,0.0014264635018721968,0.01390753539973417,0.014833369927320898,0.0067092827827070324,0.008715121912922591,24.70809032421392
ellipse_c5_mu0.5,baseline,0.003041885342995422,0.0030643356143072236,0.005363624298389382,0.009344758313202856,0.006925073638408306,0.009888220128907168,87.12485765884801
ellipse_c5_mu0.5,smo,0.003051879323044792,0.0031069972300894295,0.005304330441848405,0.009269183913625096,0.00692647637996689,0.00993419676724138,88.621946564296
ellipse_c5_mu0.5,eso,0.0030464423564045555,0.003099977903441813,0.005384887322756061,0.009362191925210702,0.0069264530196708664,0.009929875326859898,88.4499355520868
mean_baseline,baseline,0.056618345381159,0.062212742891039376,0.06253164613510019,0.062435642203928075,0.00770869885419169,0.008791375198265835,144.74579240529488
median_baseline,baseline,0.002103809926146073,0.002533639529889018,0.014153016536599056,0.014553345943825473,0.006900292279747745,0.008587158280190643,54.85608120449105
mean_smo,smo,0.4768211111701452,0.5423692665454601,0.5614913264769931,0.40375292138456464,1.2815123284486967,0.10136353858514234,1185.5163683632843
median_smo,smo,0.002213192326067769,0.002689687081286855,0.014144262997307642,0.014496954103227142,0.006900107857973045,0.0090544552882782,57.7821367193488
mean_eso,eso,0.48369682007618753,0.5503867686104547,0.570082551882871,0.4091667863151762,1.3399425795319126,0.10346890691034959,1206.7217260206785
median_eso,eso,0.002231886282600846,0.00271185955568388,0.014267892437206069,0.014679825016292837,0.006900072579525382,0.009080920545887612,59.16966446578369
