controller,finalized,trajectory,mode,seed,sensor_noise,ok,tracking,ce,chatter,est_rmse_vx,est_rmse_vy,est_rmse_psidot,est_rmse_psi,est_rmse_X,est_rmse_Y,est_rmse_pos,est_rmse_heading,ctrl_rmse_vx,ctrl_rmse_vy,ctrl_rmse_psidot,ctrl_rmse_psi,ctrl_rmse_pos,ctrl_rmse_heading,ctrl_pos_final,ctrl_head_final
asmc,true,coupled_vomega,pose,42,realistic,true,3.495840915294676,45.12526856882334,0.49543229120113164,0.04992037620201689,0.02551178677625393,0.01767169812611883,0.013745539734027302,0.025127193607081332,0.023559878962448592,0.0344447928618097,0.013745539734027302,0.12039570764305808,0.13330154555038745,0.026668177032152244,0.014933654677194446,0.385741739210468,0.014933654677194446,0.04559602818964923,0.006318766667366305
asmc,true,coupled_vomega,pose,43,realistic,true,3.6112301191113647,45.069768528917166,0.5018300184605958,0.05053088878028932,0.028100038889154723,0.0390670225435679,0.013218051042368891,0.02409974321761691,0.021162734898536553,0.032072713816277056,0.013218051042368891,0.12237407532824222,0.13578597267107664,0.026873653551400294,0.016510587500459036,0.4031520633101177,0.016510587500459036,0.04332998984993946,0.009642646528348564
asmc,true,coupled_vomega,pose,44,realistic,true,4.480778844694043,45.447346754228704,0.4964327155559844,0.05123011763041774,0.024659464190196302,0.0156513769016535,0.010755576047936893,0.030482085218539044,0.024010755498071933,0.03880301404347951,0.010755576047936893,0.12346032726288951,0.13925960478305557,0.025749561184674107,0.01966020930385352,0.3989317557579389,0.01966020930385352,0.08281230469243887,0.00627801351784818
asmc,true,coupled_vomega,pose,45,realistic,true,4.055821700455537,45.789995436826125,0.48984234986679936,0.05313325586796622,0.023836560452906715,0.0519316505321464,0.011104588416734363,0.02192754301748349,0.02123863341926162,0.030526983019967195,0.011104588416734363,0.1277034161593212,0.1443651420267284,0.025344833642222897,0.0248181359867671,0.4153726468173955,0.0248181359867671,0.05109636739500063,0.015405582939318485
asmc,true,coupled_vomega,pose,46,realistic,true,3.071018277003684,45.21103896462719,0.5022104691013042,0.051963034538429986,0.026328887954217055,0.020897998882554187,0.013050909633805374,0.0224563195611493,0.02665083023147894,0.034850438164527694,0.013050909633805374,0.12277883071137116,0.1376969608175498,0.027341712777418523,0.01156942455591844,0.40294189182342355,0.01156942455591844,0.029910931127795807,0.0012852795118085678
asmc,true,spiral_orbit,pose,42,realistic,true,4.870462003068242,52.39976670109052,0.4587964472324667,0.014749037813046484,0.021949902753579425,0.009016785180259546,0.011299835561625615,0.02450484550291424,0.02309571572090402,0.033673424800315585,0.011299835561625615,0.14805486585541777,0.1549916211722629,0.06148740700478538,0.0673212005780727,0.12346886746466024,0.0673212005780727,0.1285030786278411,0.017848503296653107
asmc,true,spiral_orbit,pose,43,realistic,true,5.82088918858939,52.48618780002687,0.4610798493684534,0.014706293722446483,0.021373745817054493,0.02014643999667618,0.013180982903696062,0.02526489156878379,0.02254311515771361,0.03386010612795446,0.013180982903696062,0.13946535947126404,0.14633496015037137,0.059102588761083645,0.08706218398220206,0.11477738545484471,0.08706218398220206,0.15296887051152552,0.032227554571246486
asmc,true,spiral_orbit,pose,44,realistic,true,4.701828432251759,52.26467972471665,0.46638678541150913,0.014563381986708153,0.02021769844724134,0.010835372708817419,0.010194321658677487,0.029375979824619303,0.02299400251446707,0.03730512487972341,0.010194321658677487,0.14806100692550592,0.15349498489657676,0.06254986039725273,0.0683524014793619,0.1261837862928827,0.0683524014793619,0.1268750928939585,0.011697518508743343
asmc,true,spiral_orbit,pose,45,realistic,true,4.553109495763042,52.497518346313186,0.4729051312898636,0.013361943802563172,0.019982551392688962,0.025817074604455374,0.011236661954830173,0.0232490100945374,0.022548683701387122,0.032387645901502365,0.011236661954830173,0.15349940479382365,0.15605939007867045,0.062412939182260596,0.05339229519095104,0.12489684151587123,0.05339229519095104,0.12829451296855776,0.006413189567107126
asmc,true,spiral_orbit,pose,46,realistic,true,7.205237878326054,52.29791261251007,0.45957686561700345,0.0157311263601764,0.02114541206356972,0.021061699111678298,0.013294540594613562,0.021246799979120656,0.02591554016378495,0.033511814802148696,0.013294540594613562,0.13763724532595126,0.14298864470823844,0.051871453761725625,0.09933202502036326,0.1138107814744409,0.09933202502036326,0.12495588614247315,0.11425971015346369
pid,true,octagon,pose,42,realistic,true,4.85289566425176,53.48040601254227,0.7588745753645065,0.03630449548033545,0.0461768496983273,0.02498997397547147,0.01303059556589079,0.025870329734989716,0.02336161328295377,0.034857408621114895,0.01303059556589079,0.1825751718780266,0.11120200856405794,0.17884577479453498,0.06616791758802239,0.19170889017140047,0.06616791758802239,0.11250710675258759,0.028275174892717053
pid,true,octagon,pose,43,realistic,true,3.366801960854281,53.52144732500693,0.7528410862419634,0.04476672662038815,0.04953609850533377,0.05772436290608376,0.013104404725856608,0.023405595751400426,0.021620287901429794,0.031863125418243037,0.013104404725856608,0.18607787813735782,0.10736766086831583,0.16178387795579677,0.06282458539037324,0.20522780038083524,0.06282458539037324,0.043945229266083054,0.03317219532355506
pid,true,octagon,pose,44,realistic,true,2.760282021896354,53.50585579736234,0.7491358520487998,0.04752566566968146,0.05328290696132047,0.04425923093094283,0.011254216359015008,0.03152322640590131,0.024397890149260106,0.039861897179801625,0.011254216359015008,0.16706712047579372,0.11752780579740545,0.17419540848716117,0.07015870121357014,0.206820556114937,0.07015870121357014,0.012456720278513357,0.043586314924715076
pid,true,octagon,pose,45,realistic,true,3.917416911920231,52.96214837871988,0.7520126646571398,0.0369328182786052,0.04412310832068328,0.06228107946093007,0.01246271251558462,0.022972663107483766,0.02249816454802963,0.032154481153956804,0.01246271251558462,0.17492410072346776,0.10687806634797914,0.20041195461250694,0.07404054582117796,0.1985083402558481,0.07404054582117796,0.07271874327776527,0.02443091743847247
pid,true,octagon,pose,46,realistic,true,8.626558515856289,53.48926938085644,0.7469181078035473,0.04523971164502619,0.04972473474371004,0.02940300502525572,0.013289120749634486,0.022587947635468758,0.026764260054291097,0.03502200729022254,0.013289120749634486,0.18645543474283469,0.12664613511341588,0.19983415089154655,0.07050650455608895,0.22342874266935503,0.07050650455608895,0.18709641346803085,0.09167032795078144
pid,true,spin_creep,pose,42,realistic,true,2.8428872386810395,51.073450362109774,0.764937757372301,0.01859563298550052,0.023929393238362868,0.01702293879906622,0.013517994918955702,0.024907708421812013,0.02459217207346338,0.03500241228996706,0.013517994918955702,0.07154186905771182,0.049382573567925934,0.19273377286101182,0.09257857501068002,0.04672750719543523,0.09257857501068002,0.046365803080321594,0.028595983867734407
pid,true,spin_creep,pose,43,realistic,true,4.518113310985975,51.27863216929335,0.765471783740227,0.0183910998102979,0.02275417059374711,0.043506835564053686,0.01321926677838555,0.024039777562428886,0.021327672276406417,0.03213690261958757,0.01321926677838555,0.08435379514289658,0.05329016577424091,0.20269565187017413,0.10992331777111036,0.05043614424164279,0.10992331777111036,0.10732062914298937,0.026628320710023815
pid,true,spin_creep,pose,44,realistic,true,6.001701583286117,54.18456275910936,0.7635881440982598,0.053552313501804054,0.05626985052279802,0.019516607023238725,0.01066389500073228,0.03048652374798736,0.023841476704243553,0.03870199144327828,0.01066389500073228,0.08709282123760292,0.06336743934511256,0.20613611794301587,0.10728251893516869,0.07935814639143768,0.10728251893516869,0.07797352714055358,0.11786292622891632
pid,true,spin_creep,pose,45,realistic,true,3.4259033136653665,52.02668724264948,0.7596643846048698,0.01673150886027138,0.025104460132832185,0.0604061273068168,0.011530476640048705,0.023208270351491686,0.022792788611685506,0.032528987463567145,0.011530476640048705,0.08552306680223234,0.058978714034373665,0.24583922617801612,0.11498447514320392,0.06195548962544084,0.11498447514320392,0.08575343330881799,0.003723551090183568
