controller,finalized,trajectory,mode,seed,sensor_noise,ok,tracking,ce,chatter,est_rmse_vx,est_rmse_vy,est_rmse_psidot,est_rmse_psi,est_rmse_X,est_rmse_Y,est_rmse_pos,est_rmse_heading,ctrl_rmse_vx,ctrl_rmse_vy,ctrl_rmse_psidot,ctrl_rmse_psi,ctrl_rmse_pos,ctrl_rmse_heading,ctrl_pos_final,ctrl_head_final
asmc,true,coupled_vomega,pose,42,realistic,true,3.503276652593847,45.126773473216915,0.4952744400708976,0.04992757847248844,0.025519654312972675,0.017671939688642436,0.013745541307755528,0.025127198377992085,0.02355986176950564,0.034444784582359944,0.013745541307755528,0.12043679477541333,0.13334525217063314,0.026650749642486166,0.01493492859386785,0.385925805307653,0.01493492859386785,0.045856124000602995,0.006326581716346702
asmc,true,coupled_vomega,pose,43,realistic,true,3.617451021009817,45.07216983908031,0.5016959841586456,0.05055346405396049,0.02810688042512257,0.039067310220127556,0.013218055596968648,0.02409970033283206,0.0211627151059529,0.03207266853238178,0.013218055596968648,0.1224249472348006,0.13581429069968667,0.026875041040254292,0.0165153681345008,0.40327496178354433,0.0165153681345008,0.04356376201920385,0.009641916447097998
asmc,true,coupled_vomega,pose,44,realistic,true,4.475964453903403,45.45285327883442,0.4964446993166498,0.051270861429701824,0.024684351728077873,0.015650703565233206,0.010755589426472709,0.03048205979003443,0.02401080105130916,0.038803022255602504,0.010755589426472709,0.1235237624732674,0.13933055702390906,0.02578196002776994,0.019663872692441683,0.39908579098404023,0.019663872692441683,0.08259711826229964,0.006261026184813723
asmc,true,coupled_vomega,pose,45,realistic,true,4.081071554005063,45.79226570033237,0.4900522655897793,0.053153503520659555,0.02383479041923543,0.051931981060428144,0.011104595369672187,0.02192750916811428,0.021238652881261772,0.030526972246334303,0.011104595369672187,0.12771627192920076,0.14442758742915274,0.02536126987572522,0.024828247183072638,0.41561085132936193,0.024828247183072638,0.052011884477201564,0.015445620890977453
asmc,true,coupled_vomega,pose,46,realistic,true,3.078621428611161,45.216037554629594,0.502156903785263,0.05198713489315081,0.026335340950301454,0.020897514288794206,0.013050910543851758,0.02245631506837059,0.026650863974892625,0.034850461073824515,0.013050910543851758,0.12283680001471242,0.13775970308427016,0.027338807311935227,0.011570603083304348,0.403183805756877,0.011570603083304348,0.03013867540017085,0.0013187252937623126
asmc,true,spiral_orbit,pose,42,realistic,true,4.870186797446229,52.400126075603445,0.45881307710394836,0.01474969234926484,0.02195185854080163,0.009016798186312696,0.011299838308114719,0.024504867341321263,0.023095719758576185,0.03367344346190986,0.011299838308114719,0.1480656710323792,0.1550023865528533,0.06148941184288404,0.06731662356960169,0.12348280960067953,0.06731662356960169,0.12848020178482417,0.017854480119016358
asmc,true,spiral_orbit,pose,43,realistic,true,5.8163077233290945,52.48693419255906,0.46109871954974624,0.014706991033421156,0.021349463752256305,0.02014628873987692,0.01318098552537689,0.025264833824089918,0.022543154702029045,0.03386008936902696,0.01318098552537689,0.13950323386294142,0.14636423607673513,0.059098424894513904,0.08699764863417404,0.11480661009589953,0.08699764863417404,0.15297586175349995,0.03204229299683092
asmc,true,spiral_orbit,pose,44,realistic,true,4.701507045978289,52.264860755868554,0.4663832415346462,0.014563185339327323,0.020213111149793978,0.010835520173373078,0.010194326665983723,0.02937601553389239,0.02299397422133238,0.03730513555985,0.010194326665983723,0.14808308657252642,0.15352215335077068,0.06253978293348088,0.06832064005622258,0.126205402807871,0.06832064005622258,0.12687966121105795,0.01167703533185005
asmc,true,spiral_orbit,pose,45,realistic,true,4.550834002611374,52.49722079483713,0.47292974513971897,0.013355838310141628,0.01996348048841632,0.02581714334701544,0.011236664381559704,0.02324897755502804,0.022548635053771072,0.03238758867440352,0.011236664381559704,0.1535439803988949,0.15608738591122395,0.06239394642144439,0.05333849189489186,0.12493909039857895,0.05333849189489186,0.12820504674917851,0.006412252935472652
asmc,true,spiral_orbit,pose,46,realistic,true,7.207858719171011,52.297928250486535,0.45959547103598924,0.015731657706270396,0.021141392362520977,0.021061748677159826,0.01329454312613044,0.021246792555764015,0.02591548671680268,0.033511768763770815,0.01329454312613044,0.13763485357798866,0.14298721947569143,0.051871700340245845,0.09935293679508472,0.11380629024620649,0.09935293679508472,0.12496096175749415,0.11435834170252156
