file,profile,combo_idx,mu,friction_case,friction_model,chi,error,util_viol_frac,util_budget_frac,msat_rail_frac,track_kind,track_err_V,track_err_w,track_err,track_viol_frac,track_flag
coupled_vomega_c012_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,12,0.5,1,lugre_adamov,0.005,,0.0,0.4366472188001208,0.0,vel,0.0157115686340363,0.0043118931792109,0.0162925078404449,0.0,tracked
coupled_vomega_c012_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,12,0.8,1,lugre_adamov,0.005,,0.0,0.4323702377908463,0.0,vel,0.01858269468201,0.0031380120981793,0.0188457863081677,0.0,tracked
coupled_vomega_c013_mu_0.3_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,13,0.3,1,lugre_adamov,0.0,,0.0,0.5534738848469353,0.0,vel,0.2323663449306381,0.0866894803864106,0.2480104519291276,0.3604751168034216,missed
coupled_vomega_c013_mu_0.3_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,13,0.3,1,lugre_adamov,0.002,,0.0,0.546547035168871,0.0,vel,0.2345438738202431,0.0847692207574457,0.2493925611048387,0.3613816508216917,missed
coupled_vomega_c013_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,13,0.3,1,lugre_adamov,0.005,,0.0,0.5364589386578648,0.0,vel,0.237136065226854,0.0822053577167693,0.2509805455978945,0.3627763185421073,missed
coupled_vomega_c013_mu_0.3_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,13,0.3,1,lugre_adamov,0.008,,0.0,0.5330187582808396,0.0,vel,0.2393465344199083,0.0814622719761018,0.2528297160033383,0.3637525859463982,missed
coupled_vomega_c013_mu_0.5_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,13,0.5,1,lugre_adamov,0.0,,0.0,0.6357825248134632,0.0,vel,0.2452095722629891,0.074066912528454,0.2561515993721213,0.3541526231375375,missed
coupled_vomega_c013_mu_0.5_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,13,0.5,1,lugre_adamov,0.002,,0.0,0.632365588898445,0.0,vel,0.250349536106186,0.0728603084567154,0.2607364853199304,0.3574998256665349,missed
coupled_vomega_c013_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,13,0.5,1,lugre_adamov,0.005,,0.0,0.6236489156458473,0.0,vel,0.257037948023857,0.0721012541632659,0.2669589810743046,0.3630320076241835,missed
coupled_vomega_c013_mu_0.5_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,13,0.5,1,lugre_adamov,0.008,,0.0,0.61553659840543,0.0,vel,0.2612137889214167,0.0715221732862142,0.27082847855103,0.365728365216987,missed
coupled_vomega_c013_mu_0.8_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,13,0.8,1,lugre_adamov,0.0,,0.0,0.6461727993305595,0.2578973059668534,vel,0.2546671546919308,0.0455618419125517,0.2587107286475537,0.3886706492178238,missed
coupled_vomega_c013_mu_0.8_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,13,0.8,1,lugre_adamov,0.002,,0.0,0.6829455382255177,0.2758420306362009,vel,0.2719512795985604,0.0459513087203165,0.2758061298238388,0.3920643406708352,missed
coupled_vomega_c013_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,13,0.8,1,lugre_adamov,0.005,,0.0,0.6890123428093257,0.2847446595848539,vel,0.2867969329281638,0.0461639263549017,0.2904885347711721,0.3983171009506985,missed
coupled_vomega_c013_mu_0.8_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,13,0.8,1,lugre_adamov,0.008,,0.0,0.6892912763534088,0.293298621603403,vel,0.2961569277910547,0.0462964089247352,0.2997537044941435,0.4029427488900769,missed
coupled_vomega_c014_mu_0.3_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,14,0.3,1,lugre_adamov,0.0,,0.0,0.6815043815810883,0.0,vel,0.0187904104538163,0.0046816265837422,0.0193648432085697,0.0,tracked
coupled_vomega_c014_mu_0.3_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,14,0.3,1,lugre_adamov,0.002,,0.0,0.6714162850700821,0.0,vel,0.0179529114985771,0.0036471092419894,0.0183196189124868,0.0,tracked
coupled_vomega_c014_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,14,0.3,1,lugre_adamov,0.005,,0.0,0.6410822621510425,0.0,vel,0.0170844096932035,0.0035111844177238,0.0174414870518684,0.0,tracked
coupled_vomega_c014_mu_0.3_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,14,0.3,1,lugre_adamov,0.008,,0.0,0.6034494781618279,0.0,vel,0.0164618466637007,0.0035007056679816,0.0168299535279522,0.0,tracked
coupled_vomega_c014_mu_0.5_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,14,0.5,1,lugre_adamov,0.0,,0.0,0.3926222077590014,0.0,vel,0.0107979800585082,0.0031974554304264,0.0112614428282305,0.0,tracked
coupled_vomega_c014_mu_0.5_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,14,0.5,1,lugre_adamov,0.002,,0.0,0.3882057599776853,0.0,vel,0.0103834944545988,0.002755901746826,0.0107429954634098,0.0,tracked
coupled_vomega_c014_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,14,0.5,1,lugre_adamov,0.005,,0.0,0.3798609981171986,0.0,vel,0.0100007534607427,0.0025567209040692,0.0103223975685817,0.0,tracked
coupled_vomega_c014_mu_0.5_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,14,0.5,1,lugre_adamov,0.008,,0.0,0.3759326840380279,0.0,vel,0.009756449229824,0.0025773976714759,0.0100911486130699,0.0,tracked
coupled_vomega_c014_mu_0.8_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,14,0.8,1,lugre_adamov,0.0,,0.0,0.3837893121963692,0.0,vel,0.005513362285397,0.0017023477968346,0.0057701951190082,0.0,tracked
coupled_vomega_c014_mu_0.8_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,14,0.8,1,lugre_adamov,0.002,,0.0,0.3817437995397597,0.0,vel,0.006454697107102,0.001493288235585,0.0066251810917867,0.0,tracked
coupled_vomega_c014_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,14,0.8,1,lugre_adamov,0.005,,0.0,0.3818600218497943,0.0,vel,0.0079886662786459,0.001588375803815,0.0081450430696049,0.0,tracked
coupled_vomega_c014_mu_0.8_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,14,0.8,1,lugre_adamov,0.008,,0.0,0.378140907928686,0.0,vel,0.0089591856321374,0.0018743575890064,0.0091531537495315,0.0,tracked
coupled_vomega_c015_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,15,0.3,1,lugre_adamov,0.005,,0.0,0.0004648892401385,0.0,vel,0.0098414758638798,0.0018858359731682,0.0100205301504973,0.0,tracked
coupled_vomega_c015_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,15,0.5,1,lugre_adamov,0.005,,0.0,0.0,0.0,vel,0.0028758125182342,0.0006982986550024,0.0029593780852758,0.0,tracked
coupled_vomega_c015_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,15,0.8,1,lugre_adamov,0.005,,0.0,0.0,0.0,vel,0.0006043231766523,0.0003296729560682,0.0006883972398273,0.0,tracked
coupled_vomega_c016_mu_0.3_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,16,0.3,1,lugre_adamov,0.0,,0.0,0.0015341344924571,0.0,vel,0.0048047140580707,0.0010004485421425,0.0049077667492758,0.0,tracked
coupled_vomega_c016_mu_0.3_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,16,0.3,1,lugre_adamov,0.002,,0.0,0.0009065340182701,0.0,vel,0.0044532906437965,0.0009572637329808,0.0045550138762254,0.0,tracked
coupled_vomega_c016_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,16,0.3,1,lugre_adamov,0.005,,0.0,0.0001859556960554,0.0,vel,0.0039913829473125,0.0008983766619566,0.0040912367884107,0.0,tracked
coupled_vomega_c016_mu_0.3_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,16,0.3,1,lugre_adamov,0.008,,0.0,0.0,0.0,vel,0.0037229120319898,0.0008592640579192,0.0038207864006204,0.0,tracked
coupled_vomega_c016_mu_0.5_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,16,0.5,1,lugre_adamov,0.0,,0.0,0.0,0.0,vel,0.0018193473883384,0.0009070955957265,0.0020329405646109,0.0,tracked
coupled_vomega_c016_mu_0.5_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,16,0.5,1,lugre_adamov,0.002,,0.0,0.0,0.0,vel,0.0017132177903057,0.0008497188062163,0.001912364308038,0.0,tracked
coupled_vomega_c016_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,16,0.5,1,lugre_adamov,0.005,,0.0,0.0,0.0,vel,0.0015596295914089,0.0007814724565655,0.0017444608516011,0.0,tracked
coupled_vomega_c016_mu_0.5_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,16,0.5,1,lugre_adamov,0.008,,0.0,0.0,0.0,vel,0.0014525296717187,0.0007561710068135,0.0016375704683367,0.0,tracked
coupled_vomega_c016_mu_0.8_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,16,0.8,1,lugre_adamov,0.0,,0.0,0.0,0.0,vel,0.0003385020340012,0.0001638366762175,0.0003760665944975,0.0,tracked
coupled_vomega_c016_mu_0.8_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,16,0.8,1,lugre_adamov,0.002,,0.0,0.0,0.0,vel,0.0003388259429947,0.0001969001586238,0.0003918835185516,0.0,tracked
coupled_vomega_c016_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,16,0.8,1,lugre_adamov,0.005,,0.0,0.0,0.0,vel,0.0003950239928895,0.0001979891494513,0.0004418638458381,0.0,tracked
coupled_vomega_c016_mu_0.8_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,16,0.8,1,lugre_adamov,0.008,,0.0,0.0,0.0,vel,0.0010214556985473,0.0001806728995792,0.0010373111590729,0.0,tracked
coupled_vomega_c017_mu_0.3_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,17,0.3,1,lugre_adamov,0.0,,0.0,0.4776969387043537,0.0,vel,0.2274325860955774,0.001916075510734,0.2274406572349919,0.2882313288858929,missed
coupled_vomega_c017_mu_0.3_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,17,0.3,1,lugre_adamov,0.002,,0.0,0.4674461309592989,0.0,vel,0.1928625079444034,0.0019314123263202,0.1928721787199474,0.2332814207015178,missed
coupled_vomega_c017_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,17,0.3,1,lugre_adamov,0.005,,0.0,0.4607052369772901,0.0,vel,0.1558395211568851,0.0019917811646347,0.1558522490906533,0.1104111945329025,missed
coupled_vomega_c017_mu_0.3_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,17,0.3,1,lugre_adamov,0.008,,0.0,0.4570558564422026,0.0,vel,0.1292305993074111,0.0020166065059258,0.1292463326332797,0.0,tracked
coupled_vomega_c017_mu_0.5_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,17,0.5,1,lugre_adamov,0.0,,0.0,0.461704748843588,0.0,vel,0.2199575376113273,0.001757604009893,0.2199645596997254,0.2891146184421561,missed
coupled_vomega_c017_mu_0.5_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,17,0.5,1,lugre_adamov,0.002,,0.0,0.459473280490923,0.0,vel,0.2149664702555733,0.0017998071778627,0.2149740045680356,0.2852560377490063,missed
coupled_vomega_c017_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,17,0.5,1,lugre_adamov,0.005,,0.0,0.4554984774877385,0.0,vel,0.2065646185976718,0.0017878535965292,0.2065723555485686,0.2759117640222217,missed
coupled_vomega_c017_mu_0.5_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,17,0.5,1,lugre_adamov,0.008,,0.0,0.451849096952651,0.0,vel,0.2001705051060585,0.0017891959184461,0.2001785011844408,0.268496780642012,missed
coupled_vomega_c017_mu_0.8_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,17,0.8,1,lugre_adamov,0.0,,0.0,0.456939634132168,0.0,vel,0.220056792162519,0.0018344531887856,0.2200644382797001,0.2971804467585597,missed
coupled_vomega_c017_mu_0.8_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,17,0.8,1,lugre_adamov,0.002,,0.0,0.4525464308128588,0.0,vel,0.2314063188649616,0.00167613768768,0.2314123891415071,0.3080123660537877,missed
coupled_vomega_c017_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,17,0.8,1,lugre_adamov,0.005,,0.0,0.4489435392017852,0.0,vel,0.2405922956079937,0.0015857847840954,0.2405975216399905,0.3172171730085307,missed
coupled_vomega_c017_mu_0.8_case1_lugre_adamov_chi_0.008.arrow,coupled_vomega,17,0.8,1,lugre_adamov,0.008,,0.0,0.4458520257548639,0.0,vel,0.2465869693600181,0.0015346343478054,0.246591744713281,0.3242137560726157,missed
coupled_vomega_c018_mu_0.3_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,18,0.3,1,lugre_adamov,0.005,,0.0,0.0,0.0,vel,0.004727825287391,0.0028587433086849,0.0055249203843173,0.0,tracked
coupled_vomega_c018_mu_0.5_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,18,0.5,1,lugre_adamov,0.005,,0.0,0.0,0.0,vel,0.0011525340698699,0.0020933371044236,0.0023896432819498,0.0,tracked
coupled_vomega_c018_mu_0.8_case1_lugre_adamov_chi_0.005.arrow,coupled_vomega,18,0.8,1,lugre_adamov,0.005,,0.0,0.0,0.0,vel,0.0006692817211494,0.0016495175268766,0.0017801253028194,0.0,tracked
coupled_vomega_c019_mu_0.3_case1_lugre_adamov_chi_0.000.arrow,coupled_vomega,19,0.3,1,lugre_adamov,0.0,,0.0,0.9698286883150088,0.0,vel,0.0112642819204219,0.0036647199133424,0.0118454303098702,0.0,tracked
coupled_vomega_c019_mu_0.3_case1_lugre_adamov_chi_0.002.arrow,coupled_vomega,19,0.3,1,lugre_adamov,0.002,,0.0,0.9610190372143836,0.0,vel,0.009415675015004,0.0035016654309826,0.010045725298788,0.0,tracked
