stratum,quantity,bin_center,n,meas_rms,roller_rms,total_rms,roller_mag_frac,body_mag_frac,yaw_mag_frac,wheel_mag_frac,roller_energy_frac,meas_energy_frac,roller_over_total_median,meas_roller_align
psi>=2,Vp_par,-0.24375,36272,0.2450531269140801,0.004609850579225941,0.241647440822127,0.0021804543189897856,0.01380561948957638,0.40978969403619653,0.5742242321552372,0.0003639228267348457,1.0283858607833916,0.015,-0.7430565854583885
psi>=2,Vp_par,-0.20625,123146,0.2075550603787101,0.004371633486345208,0.20436202601237727,0.002051209701058434,0.01864277828656807,0.41566472353071227,0.5636412884816612,0.00045760113060611926,1.0314929251266085,0.015,-0.7353114843311112
psi>=2,Vp_par,-0.16875,235311,0.16952068795429368,0.0047067879529270095,0.16615792396312548,0.002262217179916463,0.017844365559786794,0.430686351856885,0.5492070654034117,0.0008024299902163873,1.0408863125558871,0.015,-0.7212462620048566
psi>=2,Vp_par,-0.13124999999999998,1412093,0.1283408752679047,0.00781989498426917,0.1252639751455812,0.0032263179234510433,0.011594234618325549,0.46249600471029156,0.5226834427479319,0.0038971710034025006,1.0497300133153595,0.025,-0.41921948571048834
psi>=2,Vp_par,-0.09375,7830222,0.09256094253077171,0.007345179007851994,0.09026329911048421,0.0029597096645280437,0.011259925491473572,0.47698857832532837,0.5087917865186699,0.0066218961112324655,1.051557755745755,0.035,-0.3486048103240006
psi>=2,Vp_par,-0.056249999999999994,16950407,0.05752183114136697,0.007324180802251598,0.05608668202151836,0.003103093182045867,0.01170367487960404,0.486221527826534,0.4989717041118162,0.017052914543538945,1.0518308591260717,0.065,-0.2571666653726796
psi>=2,Vp_par,-0.01874999999999999,19872622,0.02291319202373071,0.007419127778965063,0.021560379272921305,0.003269492556658081,0.01258946282741988,0.4899365471715662,0.4942044974443558,0.11841123459413844,1.129427600789606,0.195,-0.3388548538489298
psi>=2,Vp_par,0.01874999999999999,20551428,0.022868202034768317,0.007366909401385814,0.021616141471348972,0.003270007633283447,0.012726232180743709,0.4901478404290678,0.493855919756905,0.11614868836309232,1.119199977738556,0.185,-0.32637790034806885
psi>=2,Vp_par,0.056249999999999994,18651041,0.05779448710976987,0.007343871536727798,0.056553643034967196,0.003180963424397467,0.011537858023135823,0.4871896328226422,0.4980915457298245,0.01686277208341196,1.0443634289113743,0.065,-0.23068375090391588
psi>=2,Vp_par,0.09375,10048166,0.09296328978639418,0.0072383582952357675,0.09087676752165083,0.0029583859958043223,0.010981137081476192,0.47711409589427267,0.5089463810284468,0.0063441641532698675,1.0464469743458833,0.035,-0.3239553923479585
psi>=2,Vp_par,0.13124999999999998,2236939,0.1275093246275483,0.008065901329036127,0.1249239836949365,0.0033329757590459413,0.011332721977233092,0.46471747252130885,0.5206168297424122,0.004168829754806585,1.0418189217977722,0.025,-0.3489064357812878
psi>=2,Vp_par,0.16874999999999998,272586,0.16968972380640662,0.0050807057967516365,0.16618014755988111,0.002412253128017388,0.017419516933440893,0.43069151478164996,0.5494767151568918,0.000934737818740864,1.0426842298071084,0.015,-0.6985927547402819
psi>=2,Vp_par,0.20625000000000002,118906,0.2064847866095003,0.004560480568909132,0.20321520295802775,0.0020985949571380286,0.01795699026045189,0.41708830837220034,0.5628561064102097,0.0005036267954323464,1.0324373984388129,0.015,-0.7223053603392211
psi>=2,Vp_par,0.24375000000000002,44588,0.24705402108494828,0.004785037017812115,0.24348859005970125,0.0022778840036690767,0.013793811959175636,0.4113628732611415,0.5725654307760137,0.0003862009822824674,1.0295006474816752,0.015,-0.7494283653737154
psi>=2,Vp_par,0.28125,245051,0.3749635864181343,0.004468401764752365,0.3716829155308169,0.002023012318866792,0.010811633384249304,0.38094609451968936,0.6062192597771945,0.00014453040879481793,1.0177309702532127,0.005,-0.7369399626307571
psi<0.5,Vp_perp,-0.28125,15551662,1.721535559284958,1.0701294776750898,0.7255035008896034,0.37704878077830545,0.18909729007431336,0.0013618131355690214,0.43249211601181226,2.1756730371052084,5.6305778892585705,0.375,-0.9723097941673254
psi<0.5,Vp_perp,-0.24375,1839689,1.3850993842404584,1.1538224982614491,0.2435399551728791,0.44905767425926807,0.21215603616428597,0.0013817933436239198,0.33740449623282215,22.44592784047937,32.34606305913211,0.445,-0.9981783062917865
psi<0.5,Vp_perp,-0.20625,2152286,1.3340175323208054,1.1386669599113353,0.20588947819643244,0.4558205634486319,0.21811670253100385,0.001428951055982945,0.3246337829643812,30.586172420229055,41.98119230410375,0.455,-0.9986080887451569
psi<0.5,Vp_perp,-0.16875,2648242,1.2840959039358886,1.1244937626555742,0.16851136655728707,0.4628002530397564,0.2228827612793885,0.0014342333254460137,0.3128827523554092,44.5303081589298,58.06795347237689,0.465,-0.9989877692105549
psi<0.5,Vp_perp,-0.13124999999999998,3006733,1.2353219787879137,1.1116989403918631,0.13120170365697245,0.46981062601679835,0.22355586588002832,0.0012668579701746495,0.3053666501329987,71.79520412894938,88.65054054958918,0.465,-0.9992968678391514
psi<0.5,Vp_perp,-0.09375,3978110,1.1461485069738382,1.0592711364803082,0.09306341363873377,0.47641452291926684,0.22828302621883834,0.0010244745696758471,0.294277976292219,129.5556386898524,151.6784313311723,0.475,-0.9995415789768316
psi<0.5,Vp_perp,-0.056249999999999994,7991573,1.0452091555231728,0.9951685047572334,0.05425670614403265,0.4819754667953922,0.22645654713452404,0.0007946029604728468,0.2907733831096109,336.4235555167764,371.1073544031839,0.485,-0.9997886268665379
psi<0.5,Vp_perp,-0.01874999999999999,473057620,0.3025773503131147,0.2979029988334227,0.00668988896731093,0.2096820327241707,0.3857542197486338,0.005527334091488928,0.3990364134357066,1982.9507619210574,2045.6673386697535,0.495,-0.9998729455126985
psi<0.5,Vp_perp,0.01874999999999999,559804064,0.3050736781614307,0.3001674737120967,0.006850545922302981,0.18089556327017275,0.40152018649430876,0.005506563839260288,0.41207768639625814,1919.8924304285636,1983.166202718289,0.495,-0.999875186525563
psi<0.5,Vp_perp,0.056249999999999994,10751962,1.0218221694172733,0.9718393571660849,0.054127831348701895,0.48090396653958833,0.22971678679052712,0.002491929356562992,0.2868873173133215,322.3648724576019,356.3767699287346,0.485,-0.9997827189418739
