dataset,scheme,channel,stratum,vcod_center,wz_center,n,channel_rms,N_bar,mu_bar,wz_bar,A_dF_dmu,abs_A,B_intercept,C_a,C_b,R2_form,R2_form_a,R2_form_b,partial_R2_chi_a,partial_R2_chi_b,chi_swing_a,chi_swing_b
full,unbinned,Fperp,gross,-0.24375,,2689225,30.141672812436163,83.5158508712647,0.48615114019838546,6.626731727794168,51.90771981934816,51.90771981934816,5.009165234102348,-0.029106712910337007,-0.002533362981794772,0.9801106392607603,0.985016868412056,0.9856034609572766,0.2466760604133563,0.2761688406445097,1.8908338293117153,1.0905786991630055
full,unbinned,Fperp,gross,-0.20625,,3373235,29.67009997859537,83.25042988961061,0.4817009191473476,6.811964033965932,51.6998802353171,51.6998802353171,5.7245010189143954,-0.03358075132804274,-0.0032691385591881255,0.9749737233021196,0.9809849511780683,0.9832549410585765,0.24019665204364263,0.33090091092768315,2.1546381796937446,1.4288597968482117
full,unbinned,Fperp,gross,-0.16875,,4581950,29.494982748360712,83.0095171573006,0.4848836194196795,6.7808142859474785,51.423252242769266,51.423252242769266,-0.416356195497307,-0.04008119584673181,-0.0042409246580098715,0.967167226002741,0.9754757344845266,0.9799000971567101,0.25305533070337655,0.3878097889332208,2.5812261347324954,1.851943744705438
full,unbinned,Fperp,gross,-0.13124999999999998,,6749422,29.509008352957252,82.00567435030233,0.49303571476194624,7.0500365850537525,50.09581154783732,50.09581154783732,-1.0097768958843252,-0.050376239831116776,-0.005534935656721532,0.9517977925682896,0.964123222868574,0.973527311251946,0.2557026110836575,0.4507992442968783,3.2588773428073696,2.5243304977716137
full,unbinned,Fperp,gross,-0.09375,,12186777,29.827614302097057,83.45820397708387,0.5248677726686894,7.7423154129576135,47.783209033939755,47.783209033939755,-2.5938871119619513,-0.06834817330731838,-0.006826884907133369,0.9219333128779958,0.9430201550783228,0.9641235413274434,0.2701131939590582,0.5404383099222827,4.790334457878664,3.7045236003193183
full,unbinned,Fperp,gross,-0.056249999999999994,,28231809,28.267079227970257,86.72601267832937,0.5495994004493278,6.693550649087983,43.35220726504736,43.35220726504736,-1.0743023473618292,-0.07272533397699317,-0.007956241109743968,0.8859131582765652,0.9121125611328759,0.9348564370026462,0.2296443872100719,0.4290002070942371,5.546274203713416,4.061440566574421
full,unbinned,Fperp,gross,-0.01874999999999999,,215003966,10.423076754167251,87.81539819610373,0.5253815015672294,1.4035489674985495,11.906253900741422,11.906253900741422,-0.6360020308783562,-0.05253824937723653,0.008764403913405225,0.8092616570178516,0.8157973632322569,0.8200667333697305,0.03426529827312749,0.05664868522471207,3.8782967173367533,0.9080617620774462
full,unbinned,Fperp,gross,0.01874999999999999,,228114809,10.963594797492826,87.93337372718733,0.5228836432096332,1.5329071920949726,-12.870244579459829,12.870244579459829,0.5173308587595017,0.051606348854878824,-0.008397485077878826,0.8166340178047589,0.8229292214188539,0.8282871420386433,0.03433136036864366,0.0635511783285773,3.796486929152684,0.9469866960541473
full,unbinned,Fperp,gross,0.056249999999999994,,32194052,28.249108074384193,88.07083991724201,0.5459972761428086,6.468464254138765,-43.64615560794707,43.64615560794707,3.3782780306668054,0.06811063949202442,0.00751388772119235,0.8982231815265305,0.9197964918040347,0.9391811705863145,0.2119668368600826,0.40242944979126727,5.240316945465753,3.739456457353906
full,unbinned,Fperp,gross,0.09375,,14694712,29.809779363857285,85.96440981398113,0.522606166082057,7.148771330207187,-48.58710005013523,48.58710005013523,1.8054797711101134,0.06254007485359672,0.007232157694952285,0.9380163792987471,0.9536480427338058,0.9714614906587753,0.25219022797005874,0.5395798274067607,4.495433677739701,3.7163147639407907
