stratum,channel,wz_center,n,F,partial_R2_chi,slope_dF_dchi,chi_swing_abs,channel_rms,rel_swing
psi>=2,Fpar,9.375,1301093,12.99571879356526,1.9976372277938643e-05,68.77432982304748,0.1540155488911068,18.252069279211533,0.008438251385914095
psi>=2,Fpar,10.625,924446,23.730699984397926,5.1338289921297075e-05,-91.93665769848378,0.28300763620947894,18.934823892283863,0.01494640973792249
psi>=2,Fpar,11.875,737081,247.57968772860386,0.0006713423184660339,83.12929967794565,1.1703837254538327,18.08699639232956,0.06470857294747823
psi>=2,Fpar,13.125,675596,847.1285622679397,0.002501559888559317,329.06827898670014,2.3327934118177778,17.249221269860644,0.1352405059522217
psi>=2,Fpar,14.375,593207,1179.2957450128808,0.0039603212928028785,407.43861348131503,2.8799614293628437,16.511187729792546,0.17442484916856002
psi>=2,Fpar,15.625,378036,551.1679788505556,0.0029075535990116487,454.6970149465019,2.3820902678407454,16.484664310003133,0.1445034137816964
psi>=2,Fpar,16.875,123387,28.660568870865006,0.00046438573334692485,357.606508615698,0.5399940764977136,19.835455976075774,0.027223678505249337
psi>=2,Fpar,18.125,8982,83.46140259739907,0.018263043217380932,377.00496411614097,12.8804069409596,25.2893614801871,0.5093211606410359
psi>=2,Fperp,0.625,1494806,54.68766643786606,7.316538871323353e-05,-249.72085053697847,0.04755517392758768,27.415684538958022,0.001734597356488079
psi>=2,Fperp,1.875,1497798,60.138834783628674,8.029708584986546e-05,-198.11505118241394,0.26638909406817235,27.370994859956447,0.00973253239172163
psi>=2,Fperp,3.125,1498130,66.27294195605928,8.84669839382262e-05,-144.70173625835304,0.39321190624683644,27.436416809884392,0.014331751444495324
psi>=2,Fperp,4.375,1495691,68.0681501991774,9.10113255789143e-05,-96.37688019850792,0.44802029541812205,27.597426580917947,0.016234133066881772
psi>=2,Fperp,5.625,1492881,89.3146704787612,0.00011964059161005293,-13.383882445012354,0.5819363827181475,27.865565133045315,0.02088371005359725
psi>=2,Fperp,6.875,1495717,303.59922808757824,0.0004057960933616981,168.19188244552035,1.079315693280092,28.283160368182468,0.03816107108363615
psi>=2,Fperp,8.125,1490833,661.6642240534864,0.000886862382648013,405.0816097500776,1.451533638335518,28.95183771939444,0.050136148606661865
psi>=2,Fperp,9.375,1301093,178.3679261163002,0.00027410862170963,285.2922160799405,0.3169822769756778,29.599745360434582,0.010708952834418028
psi>=2,Fperp,10.625,924446,651.2279582139726,0.0014069372489647612,-347.6383415847025,1.8565474219972242,29.09887935188778,0.0638013374861043
psi>=2,Fperp,11.875,737081,27.01149634419933,7.328877870550124e-05,-100.39257892427027,0.24488791038644542,28.476272289483045,0.008599717965082397
psi>=2,Fperp,13.125,675596,92.76720529883477,0.0002745519767409131,-167.24932485945624,0.5096605982988136,28.987772516664837,0.017581916582442264
psi>=2,Fperp,14.375,593207,94.60183390070884,0.00031885417394594595,-355.2167049712224,0.42317628919483763,29.71848953897209,0.014239495201796671
psi>=2,Fperp,15.625,378036,858.4398172252356,0.004521163467510386,-730.8180313408533,3.462398806004846,30.900824886498302,0.11204875011338918
psi>=2,Fperp,16.875,123387,188.0904703948407,0.0030397678502475586,-1411.8862013093988,0.10050026996808903,32.895512048831364,0.003055136208820904
psi>=2,Fperp,18.125,8982,599.5865664736643,0.11788760545799667,1839.974077777984,38.74947303983996,35.63728625088762,1.0873295112047099
psi>=2,Mz,0.625,1494806,1316.0168537066163,0.001757702973475594,-0.009162681681761313,0.0010378223731441517,0.010687281705119686,0.09710817041970442
psi>=2,Mz,1.875,1497798,484.3776955657589,0.0006463726603045076,-0.005190298798385105,0.0007948893842170161,0.012928851575566417,0.061481824551164105
psi>=2,Mz,3.125,1498130,85.13614486040359,0.000113644393793329,-0.022643726800598923,0.00043717238469287765,0.01712517273584794,0.025528056939113346
