stratum,channel,vcod_center,vcod_mean,n,n_mu03,n_mu05,n_mu08,N_bar,channel_rms,F_mu03_q,F_mu05_q,F_mu08_q,affine_A_q,affine_B_q,mult_mu03_q,mult_mu05_q,mult_mu08_q,mu_swing_abs_q,rel_swing_q,curvature_resid_q,F_mu03_l,F_mu05_l,F_mu08_l,affine_A_l,affine_B_l,mult_mu03_l,mult_mu05_l,mult_mu08_l,mu_swing_abs_l,rel_swing_l,curvature_resid_l,d_swing_q_minus_l,d_mult05_q_minus_l
gross,Fpar,-0.20625,-0.20535195756527572,1934490,655663,540382,738445,84.50453468520986,36.19471667689327,17.66832176124054,28.887990732398354,44.96991497650071,54.51782387131942,1.4175679529457577,0.9202399863035483,0.9505668771602254,0.9685207541907692,27.30159321526017,0.7542977462423271,0.29903168505374467,17.668627321849424,28.88378359545366,44.964165948735044,54.50631155890809,1.4205958791289066,0.9200677039998011,0.9504565744990793,0.9684491832344556,27.29553862688562,0.7541304680058764,0.2969408228499866,0.006054588374549752,0.00011030266114608889
gross,Fpar,-0.16875,-0.1676672220694,2837517,927203,810762,1099552,83.4035083477951,34.89699334317029,17.082861641255807,27.846544328415497,42.917250564806864,51.53092226005072,1.7810155186709509,0.896694586242959,0.9353450700289381,0.9585865754951272,25.834388923551057,0.7403041479677251,0.4299271177392683,17.082841288661026,27.826926257588088,42.91495308599622,51.53235992814926,1.7737211152194645,0.8970767160975779,0.9355944994096933,0.9587502967099595,25.83211179733519,0.7402388951766473,0.4112402499929857,0.0022771262158656214,-0.00024942938075522836
gross,Fpar,-0.13124999999999998,-0.12660968373532572,6247188,1729210,1581158,2936820,86.00338268286956,36.44642007493307,18.462211281369804,29.724694005720277,39.69957666007144,41.17135911613846,7.1836004343035516,0.6322704156505133,0.7413112462304883,0.8209502169268441,21.23736537870164,0.5827009987548314,2.767536572869819,18.467906347603495,29.71723005768762,39.600093587665825,40.94738661581839,7.267694677003226,0.6282872399155492,0.7380197890258458,0.8184238598245108,21.13218724006233,0.579815169682372,2.796448814059193,0.10517813863931025,0.0032914572046425228
gross,Fpar,-0.09375,-0.08838247575863006,58606248,12727534,19978718,25899996,88.04347272544226,30.154572273186893,21.479105581971844,27.461840500119745,28.749239377397604,12.233938533989212,19.523939951000898,0.15823757577646874,0.2385628846071319,0.3339060596978228,7.27013379542576,0.24109557016964495,3.074681399977596,21.473542597446794,27.483609969158536,28.77043365965187,12.274979187454795,19.515340507996275,0.15874299791486332,0.23925194878653977,0.33474944396426676,7.296891062205077,0.24198290713920656,3.0913109468297115,-0.02675726677931678,-0.0006890641794078667
gross,Fpar,-0.056249999999999994,-0.05446481286483464,146073851,56086387,48295470,41691994,87.17139524741884,25.457930518087636,16.480142863709094,18.595543701424052,19.90306309911041,6.792643136731432,14.70018149444819,0.12174668738299446,0.18767833523288488,0.2698934449136217,3.422920235401314,0.13445398607594436,0.7462327435544331,16.48163307719364,18.595370748814833,19.915997521493775,6.815976451334759,14.692515431762816,0.12216975935103677,0.1882814031126925,0.2706726672372926,3.4343644443001367,0.13490352021583416,0.7399918939011414,-0.011444208898822694,-0.0006030678798076283
gross,Fpar,-0.01874999999999999,-0.02938879893075767,64015484,26617424,21551004,15847056,86.74781581411663,22.686832079947408,10.735445956453917,12.601632596437117,16.283878762280658,11.069632231176465,7.3008594586468725,0.3126499815928432,0.4312056723136725,0.5481180963544019,5.5484328058267405,0.2445662217745653,0.35318648234749617,10.733771305539328,12.600856227510075,16.413470628426335,11.328185868529863,7.205005105448218,0.32050439035935974,0.4401313065442451,0.55709351301929,5.679699322887007,0.2503522441067133,0.40479480718405547,-0.1312665170602667,-0.008925634230572577
gross,Fpar,0.01874999999999999,0.029349545425869025,64092491,27072079,21601143,15419269,86.64108443519847,22.465544322344275,-10.636736876746614,-12.6953836910434,-16.355879877839744,-11.413551423687798,-7.1401304634218965,0.32411983482588824,0.4442140102829722,0.5611736878465855,5.71914300109313,0.25457397866851855,0.22901038614046598,-10.636437443777721,-12.701315421913025,-16.469725863802203,-11.637583894341645,-7.060132450725551,0.3308824087135491,0.4518072913077474,0.568720440934435,5.833288420024482,0.25965488911936496,0.2684373898744905,-0.11414541893135244,-0.007593281024775189
gross,Fpar,0.056249999999999994,0.05456097463136306,147174140,56527641,48957822,41688677,87.15368365245766,25.439125950990025,-16.44889747955631,-18.655293764366835,-20.078465431222646,-7.208916592072892,-14.547685377347449,0.12942120526914505,0.1985692908172376,0.2838880017948273,3.629567951666335,0.14267659819204917,0.7545691041439895,-16.449809838924363,-18.65625884743345,-20.107490581466323,-7.26588706815822,-14.52762836040624,0.13046714871941453,0.2000456568871761,0.2857725201154075,3.6576807425419595,0.1437816986947074,0.7433767114923029,-0.028112790875624682,-0.0014763660699385062
gross,Fpar,0.09375,0.08850691157625455,60544414,13580727,20450899,26512788,87.723590760042,29.977534640358023,-21.268235107947458,-27.12544172426736,-28.69321731528972,-12.787153097296375,-18.998357954691777,0.16799777865534976,0.2517955671241669,0.34999638451973436,7.424982207342261,0.24768488457840654,2.8872137333829997,-21.25132214395396,-27.139097222929756,-28.740095928030488,-12.911126896866175,-18.946993391498825,0.16973189349831763,0.2541304597451061,0.35281249470261394,7.488773784076528,0.2498128639969804,2.892265565345184,-0.06379157673426761,-0.002334892620939222
gross,Fpar,0.13124999999999998,0.12615569313312402,6575499,2072538,1457183,3045778,85.65163309438744,35.28641470723473,-18.34360658396608,-29.177440773205515,-39.00568284553682,-40.433529102710025,-7.028602249450766,0.633137083187011,0.7420257799853553,0.8214977449880068,20.66207626157074,0.5855532910611749,2.5690036846111397,-18.34615621939183,-29.135667979285856,-38.94969910693297,-40.323711124367264,-7.057463563736795,0.6315521036984617,0.7407185855352234,0.8204958303290347,20.60354288754114,0.5838944834289674,2.5480946048775692,0.05853337402960079,0.0013071944501319432
gross,Fpar,0.16874999999999998,0.16863517392817756,3110031,1096268,874707,1139056,85.4285276295769,35.22738688592741,-17.53378545252997,-28.565167388108737,-44.37262460499392,-53.60568708694593,-1.5525201471862315,0.9119598374701846,0.9452477434561116,0.9650624995394886,26.838839152463954,0.7618742553733243,0.2958462745931847,-17.533859044494474,-28.55527026481999,-44.37177807496315,-53.606183555340564,-1.5491846605712265,0.9121331081692485,0.9453594259372525,0.9651352550819553,26.83791903046868,0.7618481358658441,0.2862436081380437,0.000920121995275025,-0.00011168248114090673
gross,Fpar,0.20625000000000002,0.20597055113391266,2938612,1054958,936454,947200,87.77021900883823,34.99777747159994,-18.24403988217503,-29.843654395418554,-46.512036149636295,-56.48171819553593,-1.4049155232245691,0.9234354719439797,0.9526099236337804,0.969845314961065,28.267996267461264,0.807708326347301,0.29241600625901754,-18.243980942419274,-29.842955062151965,-46.50970492294261,-56.477123782342375,-1.4063316865044242,0.9233584524866967,0.9525607443042575,0.9698134549797409,28.265723980523337,0.8076433997404681,0.29268452752335605,0.002272286937927248,4.9179329522863746e-05
gross,Fpar,0.24375000000000002,0.24278620313381657,2324037,806781,732346,784910,88.33786007145918,36.057092587313434,-18.67298509283511,-30.643126412232434,-47.80335970393899,-58.18688643215808,-1.3342521616534013,0.9289925718569337,0.956150074953431,0.9721356024417455,29.13037461110388,0.8078958263360729,0.31799147495577174,-18.67303126902826,-30.642266754449114,-47.80395602663841,-58.18824824654383,-1.333474359902394,0.9290325709935386,0.9561754976936556,0.9721520272284266,29.13092475761015,0.8079110839862825,0.3168655823767921,-0.0005501465062707211,-2.5422740224656515e-05
gross,Fpar,0.28125,0.6136984248852855,20557078,6889096,6591978,7076004,83.40711929278804,34.35212088255882,-17.637994813792762,-29.148182183440454,-46.16206621009881,-57.02101105094351,-0.5703469920466541,0.9677344416430438,0.9803875422254875,0.9876513939478906,28.524071396306045,0.8303438234227983,0.10055881112527487,-17.540317227581774,-29.12348536120835,-46.34733960315427,-57.59775925857651,-0.2841919321942591,0.9838191924574083,0.9902282696793745,0.9938702065413845,28.807022375572494,0.838580606829383,0.06035918339757629,-0.28295097926644885,-0.009840727453886977
gross,Fperp,-0.28125,-0.625396439502484,16695253,6204888,5152100,5338265,80.34731206661469,30.783367969414293,16.901808043896718,27.90008075636699,43.911249161630714,53.98886558874173,0.7718207542865411,0.9545144447418742,0.9722029206088604,0.9824438214471483,27.009441117733996,0.8774037052920918,0.19449626537667086,17.27433883660015,27.825625925237894,43.65872784108031,52.769158975078845,1.4427449496056086,0.9164763618165548,0.9481536590819427,0.9669535350686004,26.384389004480155,0.8570988408641682,0.002468513154319396,0.6250521132538402,0.024049261526917665
gross,Fperp,-0.24375,-0.24302536419214119,2689225,1304846,638624,745755,83.51585087126466,30.141672812436173,18.398340174412613,29.323765084422647,44.70141941040536,52.63625014813628,2.697849358080468,0.8540813687658974,0.9070219280627931,0.9397893538689875,26.303079235992744,0.8726482899495989,0.40419321561293486,18.398234805914775,29.322471738779264,44.70113414677318,52.635807271650975,2.6976272923666875,0.8540905786104896,0.9070281602276107,0.9397935354774366,26.302899340858403,0.8726423216300746,0.4030771965211244,0.00017989513434102378,-6.232164817543406e-06
