t,Xo,Yo,Vx,Vy,Vx_des,Vy_des
34.04,-2.731162516278635,0.4730971846856043,0.11372090718048883,-0.15376079919887456,0.10550375685816354,-0.18273786726773258
34.06,-2.729251929259339,0.47007104075496176,0.09607495475556721,-0.14818605710275567,0.09531316429127554,-0.1650872431826488
34.08,-2.7276010557314128,0.4669301730857903,0.08675025125469102,-0.14499551707137776,0.08553715980042328,-0.14815470670947123
34.1,-2.7260967946207537,0.4642585744600427,0.0789151159625141,-0.12347079239445455,0.07621050367999935,-0.13200046444417374
34.12,-2.724730550636299,0.4615634730350654,0.07250335344571222,-0.12888917863729457,0.0673648608280586,-0.11667936159900391
34.14,-2.7234704954112097,0.4593012053071993,0.06371701494691509,-0.09008400370451457,0.059028498756402856,-0.102240358940606
34.160000000000004,-2.7224218826503592,0.4574293663753577,0.052928330897388666,-0.09837008356326062,0.05122598560071509,-0.08872600972823022
34.18,-2.7215418413160406,0.45554734832025523,0.045793389568405285,-0.07553322033197699,0.04397788813066265,-0.07617193665188797
34.2,-2.720784375291754,0.4541889029524289,0.03827131200511687,-0.06795954818915015,0.03730046975999893,-0.06460630877050462
34.22,-2.720159253735336,0.4525755130148191,0.03303821203236511,-0.07995521918176264,0.0312053885566976,-0.05404931845012866
34.24,-2.719612916754749,0.45129937867484476,0.028039066505330387,-0.04221178134265833,0.025699395253042576,-0.04451265830206415
34.26,-2.7191563630214817,0.45044478109845315,0.02292648124518969,-0.04855420840867387,0.02078403125575719,-0.03599899812107102
34.28,-2.7187974714039704,0.44959546919326115,0.017348502690960197,-0.026982958208518835,0.016455326656102193,-0.02850146182351147
34.300000000000004,-2.7185119331023735,0.44901636194287564,0.01492494426436482,-0.03778888806497035,0.012703498239999082,-0.022003104385540213
34.32,-2.7182918199178747,0.448344525620231,0.010555265441315086,-0.01974556980377361,0.00951264749813703,-0.0164763887812663
34.34,-2.7180986937865184,0.4480106612269465,0.010866633466805185,-0.02268248812315787,0.006860458636082713,-0.011882662920919938
34.36,-2.7179664345905485,0.44743101152735754,0.004556134762936672,-0.02408919112708664,0.004717896584396898,-0.008171636589031092
34.38,-2.7179478362286784,0.4472022202954223,-0.00014690378612527773,-0.008021160827594917,0.0030489050087421543,-0.005280858382592642
34.4,-2.717986659679082,0.44685543822564044,-0.0018265933301221645,-0.019041623592468908,0.0018101043199994398,-0.0031351926492389423
34.42,-2.7180422645362894,0.44669142171844584,-0.003587943284115941,-0.002097071135694929,0.0009504896843772318,-0.001646296425411471
34.44,-2.718158399309429,0.4464514596356473,-0.005219371839669094,-0.02328812095844574,0.0004111290335231389,-0.0007120963745287645
34.46,-2.7182390491889072,0.4461124672944028,-0.0011399639796681924,-0.0053163366232196595,0.0001248610746372947,-0.0002162657251594441
34.480000000000004,-2.7182728367350695,0.44596599785897917,-0.0015211578676978886,-0.017346728770143798,1.5993300582550777e-5,-2.7701209189698863e-5
34.5,-2.7183180942303653,0.44565116845064623,-0.0013017258850844616,-0.006619926260816425,3.260075548516852e-65,1.2166767583577827e-64
34.52,-2.7183619123835707,0.4456234906730281,-0.003487919475365072,-0.006183153455146173,3.260075548516852e-65,1.2166767583577827e-64
34.54,-2.718470557995979,0.4452484751840615,-0.004313582939280913,-0.02273253790990597,3.260075548516852e-65,1.2166767583577827e-64
34.56,-2.7185557376681597,0.44505362451370817,-0.003698256449216274,0.0023679615986437626,3.260075548516852e-65,1.2166767583577827e-64
34.58,-2.7186404928795778,0.44500021968462555,-0.00440269589192585,-0.01447564002688182,3.260075548516852e-65,1.2166767583577827e-64
34.6,-2.718719102113931,0.4447304228207063,-0.002384824560068807,-0.004731575817428039,3.260075548516852e-65,1.2166767583577827e-64
34.62,-2.718804150066643,0.4447833092815857,-0.007287205273619538,0.00036481384828132487,3.260075548516852e-65,1.2166767583577827e-64
34.64,-2.7189929170923293,0.44456455720703597,-0.008759751329324682,-0.015824185108195818,3.260075548516852e-65,1.2166767583577827e-64
34.660000000000004,-2.719162373693784,0.4444847561242601,-0.007375179631317102,0.006134167316194533,3.260075548516852e-65,1.2166767583577827e-64
34.68,-2.719319579428395,0.44451328289104064,-0.008542606563844927,-0.010019110694319287,3.260075548516852e-65,1.2166767583577827e-64
34.7,-2.719468967848613,0.4443298577494872,-0.00569721272943958,-0.0003392330527831918,3.260075548516852e-65,1.2166767583577827e-64
34.72,-2.719532261787949,0.4444843259826264,-0.0024481224971517005,0.0064993341240098,3.260075548516852e-65,1.2166767583577827e-64
34.74,-2.7195783044300703,0.4443974027967744,-0.001426267785007515,-0.00965503676858628,3.260075548516852e-65,1.2166767583577827e-64
34.76,-2.7196117527769674,0.44442693587655624,-0.002345220972128272,0.013393917040172175,3.260075548516852e-65,1.2166767583577827e-64
34.78,-2.719652346474279,0.44464528194506026,-0.003043845089075317,0.0014816737025909515,3.260075548516852e-65,1.2166767583577827e-64
34.800000000000004,-2.719701500345205,0.44457257977507053,-0.002007208990478234,0.0006642139931751809,3.260075548516852e-65,1.2166767583577827e-64
34.82,-2.7197342438649685,0.4448452773071904,-0.002289840552011677,0.018346740473028464,3.260075548516852e-65,1.2166767583577827e-64
34.84,-2.7197737054032376,0.4449841398982489,-0.0033122768420008417,-0.006505062808712909,3.260075548516852e-65,1.2166767583577827e-64
34.86,-2.719902103545754,0.4449119312423892,-0.008688185255421105,0.005675543042140289,3.260075548516852e-65,1.2166767583577827e-64
34.88,-2.7200449774471718,0.445055761984909,-0.006703264273367901,-0.0009306739066205493,3.260075548516852e-65,1.2166767583577827e-64
34.9,-2.720171276695252,0.4448159454185598,-0.003505844005306223,-0.015350734157797112,3.260075548516852e-65,1.2166767583577827e-64
34.92,-2.7202334728667794,0.44472417444766493,-0.004143735461046601,0.003911281521094332,3.260075548516852e-65,1.2166767583577827e-64
34.94,-2.7203839263798315,0.44463953003961276,-0.009816005289231315,-0.018616765593842607,3.260075548516852e-65,1.2166767583577827e-64
34.96,-2.7205851361542437,0.4442754212741233,-0.007804268650183429,-0.009180381530072028,3.260075548516852e-65,1.2166767583577827e-64
