t,Xo,Yo,Vx,Vy,Vx_des,Vy_des
21.76,-1.5657986651501248,4.8911293920218375,-0.6310445706871215,-0.2867840981877611,-0.6944480989080449,-0.39718060947164935
21.78,-1.5784663843355486,4.885441925332606,-0.6363143923437098,-0.28193703205986564,-0.698127576194349,-0.3908075678664752
21.8,-1.5912611051217238,4.879860744019874,-0.6423004043379608,-0.2764735309652222,-0.702331120861672,-0.38352681493078633
21.82,-1.6041772304170296,4.87438122328788,-0.6496681690550684,-0.2711383016479528,-0.7069875587987727,-0.3754616278414367
21.84,-1.6172362831614158,4.869014225130251,-0.6565549975089722,-0.26620953212763293,-0.7120016549526402,-0.3667769585489026
21.86,-1.6304453526580989,4.8637603392606925,-0.664041693639518,-0.2592157442470786,-0.7172560238097426,-0.3576761247266935
21.88,-1.6438063152888285,4.858625114199789,-0.6716065100429612,-0.2540163623063424,-0.7226140925360528,-0.34839567746227845
21.900000000000002,-1.6573127177956606,4.853605744242388,-0.6792499196565904,-0.24885980099987529,-0.7279240351560053,-0.33919858705924527
21.92,-1.670961936769672,4.848685074930364,-0.6858203675930055,-0.24316103963438596,-0.7330235494279923,-0.3303659692462412
21.94,-1.6847480024943655,4.8438648714004975,-0.6919285417285637,-0.23883422363040488,-0.7377453060645002,-0.322187646850834
21.96,-1.69864506420449,4.83912600569586,-0.6976793197820803,-0.23573628741204986,-0.7419228646959033,-0.3149519030496459
21.98,-1.712638259336092,4.8344458609472944,-0.701974641317802,-0.2324360655191365,-0.7453968242455418,-0.30893482860623295
22.0,-1.726707313022568,4.8298146159096245,-0.7043061706257391,-0.23077881565099734,-0.7480209585507828,-0.30438969466367116
22.02,-1.7408196674526377,4.8252007258572585,-0.7062236549207113,-0.2309368504598737,-0.7496680820662655,-0.3015367930485136
22.04,-1.754947937260161,4.820586210226573,-0.7068451319883791,-0.2308894503872811,-0.7502353957642595,-0.3005541768997583
22.06,-1.769062239052064,4.81594982003271,-0.7045176891776039,-0.23305715856681364,-0.7496490798277938,-0.3015697058910041
22.080000000000002,-1.7831303531052,4.811253674796565,-0.7014899382940277,-0.23651667227887116,-0.747867926820956,-0.3046547533949012
22.1,-1.7971241374890248,4.806490623366966,-0.6975987717813695,-0.24026288033693935,-0.7448858456285435,-0.30981986953245527
22.12,-1.8110034175547756,4.801630508835412,-0.6906334430438735,-0.24627602718359765,-0.7407331110473713,-0.3170126168173939
22.14,-1.8247442993445078,4.796639503510609,-0.6828660812844296,-0.2529168949155641,-0.7354762845681087,-0.32611770736605017
22.16,-1.8383286032863566,4.791520205716564,-0.6748515930407154,-0.25930921345083224,-0.7292167864010287,-0.33695947622131683
22.18,-1.8517149890717608,4.786247637717166,-0.6638515131988745,-0.2685045164548615,-0.7220881547712757,-0.34930662839249155
22.2,-1.8648848828291085,4.780792180640801,-0.6530435542771333,-0.2774693097008125,-0.7142520834572358,-0.36287910204014184
22.22,-1.8778342256649185,4.775157551298653,-0.6417983493412706,-0.28526788829675903,-0.7058933800200738,-0.37735680107870684
22.240000000000002,-1.8905591397815555,4.769362312504567,-0.6303449571658087,-0.2945966314950053,-0.6972140328700593,-0.39238987131906006
22.26,-1.903028456226598,4.763376827353739,-0.6167355301856692,-0.30487977785905823,-0.6884266131850414,-0.40761012868094215
22.28,-1.9152474493649243,4.757185975619841,-0.6049315100197629,-0.3141054459032059,-0.6797472660350284,-0.4226431989212927
22.3,-1.9272337411433114,4.750815235457772,-0.5938066292880517,-0.32210993974353186,-0.6713885625978666,-0.4371208979598577
22.32,-1.9390069048502745,4.744312322178819,-0.5837930801954452,-0.32887428056863016,-0.6635524912838265,-0.450693371607508
22.34,-1.9505764664569192,4.737666783121254,-0.57318739574491,-0.33569715696087477,-0.6564238596540736,-0.46304052377868277
22.36,-1.9619470953528,4.7308847030423875,-0.56379636289706,-0.3422639674051531,-0.6501643614869936,-0.4738822926339494
22.38,-1.9731490430470253,4.723981208029946,-0.5563339491553129,-0.34855700175103943,-0.6449075350077311,-0.48298738318260565
22.400000000000002,-1.9842034234397519,4.716965728487279,-0.5497528961501814,-0.35295048352013586,-0.6407548004265582,-0.4901801304675454
22.42,-1.9951592939154672,4.7098856679620535,-0.5454836773383583,-0.3548112553340316,-0.6377727192341458,-0.4953452466050991
22.44,-2.006053897568109,4.702792623381394,-0.5441524679022451,-0.3544533574323095,-0.6359915662273085,-0.4984302941089955
22.46,-2.016918211177629,4.695707989036643,-0.5428599183902354,-0.3541943407451326,-0.6354052502908428,-0.4994458231002414
22.48,-2.0277842865040703,4.688640947480887,-0.5437361388196027,-0.35208978268194363,-0.6359725639888368,-0.49846320695148605
22.5,-2.038689463315558,4.681629145181684,-0.5466001458336762,-0.34953953816643585,-0.6376196875043195,-0.49561030533632844
22.52,-2.04965840662882,4.674675342750531,-0.5506438656335273,-0.34619502986454276,-0.6402438218095605,-0.49106517139376665
22.54,-2.060720253357075,4.667792739621391,-0.5555912725753384,-0.3419291917963504,-0.643717781359199,-0.4850480969503537
22.56,-2.071904932804966,4.661012182264472,-0.5625233856624012,-0.3361030398898542,-0.6478953399906021,-0.4778123531491656
22.580000000000002,-2.0832316472661296,4.654368164743309,-0.5705131711303334,-0.32878830108363893,-0.6526170966271108,-0.469634030753757
22.6,-2.0947147017413275,4.647855099382542,-0.5779258937629397,-0.3225594156122964,-0.6577166108990978,-0.4608014129407527
22.62,-2.106365737492911,4.641477709776524,-0.5866152334499585,-0.31565507933280507,-0.6630265535190495,-0.45160432253772115
22.64,-2.1181808944869664,4.635220898239707,-0.5950382274470404,-0.3102961122215503,-0.6683846222453597,-0.4423238752733061
22.66,-2.1301635198553135,4.629081876136586,-0.6033132315882611,-0.3037911262508115,-0.6736389911024621,-0.433223041451097
22.68,-2.1423181091729346,4.623078015810347,-0.6115007369912463,-0.29698430036367457,-0.6786530872563296,-0.4245383721585628
22.7,-2.154623404984602,4.617189505030493,-0.6189719935424156,-0.2919437819303886,-0.6833095251934302,-0.4164731850692133
22.72,-2.167069814195827,4.611400642230998,-0.6254287369282988,-0.2877971605239772,-0.6875130698607533,-0.4091924321335245
22.740000000000002,-2.1796365216083737,4.605680136944878,-0.631004903976079,-0.2840143527575942,-0.6911925471470579,-0.4028193905283492
22.76,-2.1923171503202927,4.600043517577593,-0.6365465940042727,-0.280190209812586,-0.6943016692824302,-0.3974342330229475
22.78,-2.2050803551003533,4.594466288646461,-0.6400237127078447,-0.2778554960008149,-0.6968187920822182,-0.39307444844482464
22.8,-2.217912800788495,4.588920703815729,-0.6426795664926522,-0.27706172716413363,-0.6987456681669177,-0.38973700116623555
22.82,-2.23079091497164,4.583391469632507,-0.6448815054290528,-0.2757031691149417,-0.7001053031915404,-0.3873820442238389
22.84,-2.2437072287186126,4.577892127643048,-0.6465066840671264,-0.27497665164904905,-0.7009390587927087,-0.3859379371615203
22.86,-2.2566331735234777,4.572393333145632,-0.6463094380051017,-0.2753548523460385,-0.7013031748111911,-0.3853072697176592
22.88,-2.26955683709774,4.566866316597204,-0.6456998780118708,-0.2769149182569683,-0.7012649031720818,-0.3853735581410853
22.900000000000002,-2.282471063403911,4.561328488572787,-0.6456769552428626,-0.27715301877873794,-0.7008984558560178,-0.38600826351080536
22.92,-2.2953705184277897,4.555779957953914,-0.644183242257606,-0.2780070130376123,-0.7002809694066711,-0.3870777814140593
22.94,-2.308240316183963,4.550200883897311,-0.6425689564641243,-0.28011072651045615,-0.69948867861591,-0.38845006931802634
22.96,-2.3210764712983023,4.544580790027431,-0.6408918247641532,-0.2817084796645075,-0.6985934731055042,-0.39000061074526476
22.98,-2.3338829106780974,4.538947252750815,-0.6399551926473906,-0.28221655892323355,-0.6976599836142784,-0.39161746197239966
23.0,-2.346657147942653,4.533290989639212,-0.6374705081354882,-0.2835257314288163,-0.6967433114077708,-0.39320518480795696
23.02,-2.359395086795613,4.527595513245843,-0.6359272438035717,-0.28586768804500506,-0.6958874761558784,-0.3946875349471431
23.04,-2.3721023978613442,4.521873668814783,-0.634912541453176,-0.2865521057333689,-0.6951246168799066,-0.3960088459721517
23.06,-2.3847908693938473,4.516148342582792,-0.6339824429553939,-0.28640058612148883,-0.6944749392652385,-0.39713412060929676
23.080000000000002,-2.397455815605092,4.510411269978223,-0.6324831799709257,-0.28727912125795185,-0.6939473628795935,-0.39804790971410764
23.1,-2.410096528935922,4.504646233178047,-0.6314414138289065,-0.28923560282664307,-0.69354078563387,-0.398752122160902
23.12,-2.4227182636909044,4.49886837382513,-0.6311439601409069,-0.28868686361712015,-0.6932458519726777,-0.39926296224694935
23.14,-2.4353408110899037,4.493100110803677,-0.6306635478856591,-0.2883859661824166,-0.6930470872921005,-0.3996072327724592
23.16,-2.4479507402791927,4.487328566725712,-0.6303689476531302,-0.28884964536944624,-0.6929252450946946,-0.3998182696488723
23.18,-2.460551411156919,4.481542176389158,-0.6297677366528209,-0.2900701941041775,-0.6928597061276743,-0.3999317864696268
