t,Xo,Yo,psi,xo_ref,yo_ref,psi_ref
11.66,-0.04155791224522455,-1.0017301173143707,-2.1878661964057255,-0.04417055617094534,-1.0271193838857553,-2.1787186617071046
11.68,-0.048110424362798755,-1.0115727745625192,-2.1968605468605844,-0.05102055858651838,-1.0368686240753353,-2.187843627156534
11.700000000000001,-0.054887699423412935,-1.0212454399646378,-2.2059454461979215,-0.05794905896757918,-1.0465404754893721,-2.196995758175038
11.72,-0.06170292928172828,-1.0308876239881268,-2.2149337381154894,-0.06495449884643523,-1.056132762582347,-2.2061777725225657
11.74,-0.06836060900123847,-1.040624601352588,-2.2239477127493816,-0.07203530244895284,-1.0656433277056117,-2.215392412555495
11.76,-0.07540655574771855,-1.0500322588255881,-2.232968019142387,-0.07918987704899572,-1.0750700315927086,-2.224642447450228
11.78,-0.08228842330557586,-1.0595380792748539,-2.2420079145278646,-0.08641661332669337,-1.0844107538405767,-2.23393067543809
11.8,-0.08939129552255526,-1.0688559871481076,-2.2510709825530184,-0.09371388573042988,-1.0936633933865014,-2.2432599260514667
11.82,-0.09647173851479576,-1.0781446639303782,-2.2602310644140737,-0.10108005284248783,-1.1028258689807162,-2.2526330623809554
11.84,-0.10356157045448336,-1.0874131594356715,-2.2694559043420384,-0.10851345774826926,-1.1118961196545611,-2.2620529833429686
11.86,-0.11090600932016621,-1.0964922506008157,-2.27863454828386,-0.11601242840898679,-1.1208721051840567,-2.2715226259569246
11.88,-0.11822310573392787,-1.1055691512791548,-2.2879029199397913,-0.1235752780377693,-1.1297518065488283,-2.281044967630836
11.9,-0.12575916776640275,-1.1144407989184901,-2.297132091354395,-0.13120030547907946,-1.1385332263862573,-2.2906230284536795
11.92,-0.13326539669738258,-1.1233255453549296,-2.306332948957835,-0.13888579559136383,-1.1472143894407552,-2.3002598734925184
11.94,-0.14095839709081046,-1.1319587555770991,-2.3155170371671923,-0.14663001963285327,-1.155793343008076,-2.309958615091853
11.96,-0.14858344890260172,-1.1405735099700929,-2.3248803114037093,-0.15443123565041356,-1.164268157374542,-2.3197224151721274
11.98,-0.1563734248469294,-1.148963490133561,-2.3342926849397125,-0.1622876888713758,-1.1726369262511092,-2.3295544875237506
12.0,-0.16411862343755437,-1.1573418483304845,-2.343853314939052,-0.17019761209824757,-1.1808977672021597,-2.339458100092291
12.02,-0.17201754946061015,-1.165510715027295,-2.3535326180288076,-0.1781592261062176,-1.1890488220689277,-2.3494365772498007
12.040000000000001,-0.179845466700536,-1.1736972293599448,-2.3632934127908616,-0.18617074004337192,-1.1970882573874702,-2.3594933020464106
12.06,-0.18787821890905637,-1.1816639653740175,-2.373061154357815,-0.19423035183350978,-1.2050142648010689,-2.369631718435416
12.08,-0.1958161175397907,-1.1896119889120178,-2.3829620777133593,-0.20233624858150906,-1.212825061467007,-2.3798553334641683
12.1,-0.20392227125818221,-1.1973192689450007,-2.392969529706059,-0.21048660698109994,-1.2205188904575843,-2.390167719421897
12.120000000000001,-0.21195774175996202,-1.205044083839508,-2.4030301487828885,-0.21867959372499735,-1.228094021155318,-2.4005725159345177
12.14,-0.22019269536594924,-1.212469737009247,-2.4131742579726594,-0.22691336591727562,-1.2355487496422182,-2.411073431995098
12.16,-0.2281564454003925,-1.2200890495508938,-2.4234419083327636,-0.23518607148790144,-1.2428813990830616,-2.4216742479172737
12.18,-0.2362903664093162,-1.2274769145587097,-2.4338315074653543,-0.24349584960933413,-1.250090320102573,-2.43237881719735
12.200000000000001,-0.24441965665320167,-1.2347971792393961,-2.444206455805348,-0.25184083111508687,-1.2571738911564247,-2.4431910682691087
12.22,-0.2525083731109941,-1.2420589958520094,-2.4547662913435406,-0.26021913892017273,-1.2641305188959835,-2.45411500613353
12.24,-0.26076152249006496,-1.2490578784466615,-2.4654742347920338,-0.2686288884433274,-1.2709586385267102,-2.4651547138436114
12.26,-0.2689602903048841,-1.2560664209065013,-2.4762636498599426,-0.277068188030918,-1.2776567141601372,-2.4763143538222963
