controller,trajectory,score_mean,score_std,tracking_mean,ce_mean,chatter_mean,est_vel_mean,est_rate_mean,est_pos_mean,n_ok,n
pid_fb,octagon_stress_hdg30,1.6196080228967715,0.14465709284745637,1.5163543592303819,49.561758559867066,0.6378073520125163,0.0027846034147688443,0.0030679875639311772,0.0032442745472131738,5,5
pid_fb,spin_creep_easy,0.18380400124289414,0.047898400327846875,0.1202014035554814,30.52924688995812,0.7504735985937447,0.0015814366697119412,0.005992274335951765,0.003244432650897124,5,5
pid_fb,spin_creep_stress_yaw,0.3074017806073611,0.06418580296660613,0.20647152590069226,48.446522259201046,0.7382058071455875,0.001529420338692583,0.00815375251183152,0.003242882761725327,5,5
pid_fb,coupled_vomega_easy,0.25568356784857504,0.06929011717487135,0.18549613149346889,33.68996945045096,0.7834998023226136,0.002197407215915188,0.004007344941844235,0.003247082701763251,5,5
pid_fb,coupled_vomega_stress,1.3804514232966074,0.04684914704622231,1.2920808121883336,42.41789333197138,0.6991744400407397,0.002599458759859428,0.003548374111642811,0.0032698064428455125,5,5
pid_fb,spiral_orbit_stress,14.131877703110622,0.5345131677700395,14.02261241684813,52.44733740599598,0.5543613945455406,0.0022261302635528312,0.004762980153499593,0.0033160746066740036,5,5
pid_fb,ellipse_stress_tangent,0.856310083283012,0.10281334662667746,0.7108459758644285,69.82277156092012,0.6354644512238286,0.0026286005825115547,0.0036661629749490895,0.0032101859022706687,5,5
pid_fb,ellipse_stress_crab,0.47759810559351656,0.08501736443842833,0.41409949827222575,30.479331514219545,0.7843565780306363,0.002374148028109413,0.0034032066243391253,0.0032165966760858934,5,5
pid_fb,multisine75_broadband,0.2411485414976072,0.033273581044838865,0.20013208832860302,19.687897521122004,0.7823536715255974,0.0017291352524760844,0.0036420324364760267,0.00319171080955124,5,5
pid_ct,octagon_easy,0.1487195664764666,0.015458774883027897,0.09477460206623461,25.893582916911374,0.6558757823819843,0.0021607372226865565,0.002847268522107657,0.0032317888044209736,5,5
pid_ct,octagon_mid,0.2104849111912106,0.01731444919296071,0.13038884661297495,38.44611099755309,0.6226509500448115,0.0030090308640650727,0.0026423942673883,0.0032439496403720318,5,5
pid_ct,octagon_stress,0.30862093487056536,0.03551788816291191,0.20687549625125162,48.83781053727059,0.5565341422090645,0.003598600765211952,0.002785988150393424,0.0032565050430149256,5,5
pid_ct,octagon_stress_hdg30,0.30457175764719535,0.03328265577818565,0.20284180052916262,48.83037941665572,0.5439374927534771,0.003699955820846007,0.0028251298839649416,0.0032581382066360935,5,5
pid_ct,spin_creep_easy,0.17949738212070515,0.04853389639662867,0.11777480875643176,29.626835214851223,0.7081708016614726,0.0016439543097498577,0.005966322770853281,0.003244398283975896,5,5
pid_ct,spin_creep_stress_yaw,0.22706176356373722,0.01951811573177012,0.1302722816165042,46.458951334671845,0.7051419937381687,0.0015722121145147678,0.00793990511877847,0.0032438926597967294,5,5
pid_ct,coupled_vomega_easy,0.14645535286442937,0.04549978744631534,0.08309059902435538,30.415081843235516,0.6954349315296429,0.0021765218615931612,0.003891697570397871,0.0032479910801299903,5,5
pid_ct,coupled_vomega_stress,0.7672543762490307,0.02754612948932783,0.6791656124215939,42.28260663716967,0.5392715461054564,0.00265657823702885,0.0036011379132012606,0.003273061204028406,5,5
pid_ct,spiral_orbit_stress,4.949037987327079,0.05947075353672451,4.83923683046933,52.70455529171894,0.5220581353130027,0.0021201525600592535,0.004736832923674031,0.00331469057060729,5,5
pid_ct,ellipse_stress_tangent,0.4326559312058101,0.036795511763233396,0.28783668940914725,69.51323606239814,0.5814156239097058,0.002640574211057807,0.003648432158695516,0.0032113184639774237,5,5
pid_ct,ellipse_stress_crab,0.1264978218022948,0.011954891357567214,0.07243910797460548,25.94818263729088,0.6815254423664805,0.0021118979421758575,0.0034675516245997254,0.0032123837966817038,5,5
pid_ct,multisine75_broadband,0.1057277213980059,0.037637907252763544,0.07691390403279136,13.830632335302983,0.6735259430871501,0.0016916125908700464,0.003543603572676238,0.003192778956620356,5,5
